variable,phase,level,n,pct
TricuspidRegurgitation,after,nan,45,7.0
LACavitySize,before,Mildly dilated,324,50.2
LACavitySize,before,Moderately dilated,170,26.4
LACavitySize,before,Normal,68,10.5
LACavitySize,before,Severely dilated,40,6.2
LACavitySize,before,No Value,29,4.5
LACavitySize,before,nan,14,2.2
LACavitySize,after,Mildly dilated,324,50.2
LACavitySize,after,Moderately dilated,170,26.4
LACavitySize,after,Normal,68,10.5
LACavitySize,after,nan,43,6.7
LACavitySize,after,Severely dilated,40,6.2
RVSystolicFunction,before,No Value,194,30.1
RVSystolicFunction,before,nan,147,22.8
RVSystolicFunction,before,Normal,144,22.3
RVSystolicFunction,before,Moderately reduced,62,9.6
RVSystolicFunction,before,Mildly reduced,57,8.8
RVSystolicFunction,before,Severely reduced,41,6.4
RVSystolicFunction,after,nan,341,52.9
RVSystolicFunction,after,Normal,144,22.3
RVSystolicFunction,after,Moderately reduced,62,9.6
RVSystolicFunction,after,Mildly reduced,57,8.8
RVSystolicFunction,after,Severely reduced,41,6.4
ECHO_SPAP,before,Severely increased,150,23.3
ECHO_SPAP,before,Moderately increased,142,22.0
ECHO_SPAP,before,Mildly increased,135,20.9
ECHO_SPAP,before,nan,119,18.4
ECHO_SPAP,before,Normal,99,15.3
ECHO_SPAP,after,Severely increased,150,23.3
ECHO_SPAP,after,Moderately increased,142,22.0
ECHO_SPAP,after,Mildly increased,135,20.9
ECHO_SPAP,after,nan,119,18.4
ECHO_SPAP,after,Normal,99,15.3
