column,dtype,vtype,n_missing,pct_missing,n_unique,in_stage2,sample_or_levels
ProcedureSummary,str,categorical/string/date,0,0.0,644,False,"חדר שמאל בגודל תקין, התכווצות גלובלית ירודה במידה בינונית, אקינזיה פוסטריורית,לטרלית, אינפרו-בזלית וספטו-בזלית, הפוקינזיה אנטריורית, תבנית מילוי רסטריקטיבית, עליות בגודל תקין, חדר ימני בגודל תקין, טבעת מסתם מיטרלי מסוידת, אי ספיקה מיטרלית קשה, מסתם אאורטלי מעובה, אי ספיקה אאורטלית וטריקוספידלית קלה, לחץ דם ריאתי מוגבר במידה קשה.: 2 (0.3%); בדיקה בוצעה בשכיבה על הגב.  חדר שמאלי בגודל תקין, ספטום מעובה במדיה קלה, תפקודו הגלובלי הסיסטולי תקין  עם היפוקנזיה ספטלית בלבד.   תבנית מילוי דיאסטולי מתאימה להפרעה דרגה 1 ( הפרעה בהרפיה).   חדר ימין בגודל ותפקוד תקינים   עליה שמאלית מרוחבת במדיה קלה   מסתם אאורטלי מסוייד תלת עלי  מפתחו מוגבלת במידה קלה מאוד עם דלף מנימלי  והצרות קלה.   מסתם מטרלי עם דלף מנימלי   מסתם טריקוספידלי עם דלף מנימלי   לחץף דם ראתי סיסטולי לא ניתן להערכה בהעדר סגנל TR דופלר מספק  IVC אינו מורחב ועובר תמט נשימתי הולם באינספיריום    ללא עדות לתפליט פריקרדיאלי    אאורטה  עולה ברוחב תקין : 1 (0.2%); חדר שמאל בגודל ותפקוד תקין, תבנית המילוי פסאדונורמלית, היפוקינזיה אינפרובזלית ואפיקלית, חדר ימין בגודל ותפקוד תקין, הרחבה של עליה שמאלית, הסתידות בטבעת המסתם המיטרלי, אי ספיקה מיטרלית קלה עם סילון אקסנטרי קדמי, מסתם אאורטלי מעובה, אי ספיקה טריקוספידלית מינימלית, לחץ ראתי מוגבר במידה בינונית, הודגם תפליט פלאורלי מימין. : 1 (0.2%); חדר שמאל בגודל תקין, התכווצותו הגלובלית ואיזורית תקינה, חדר ימין עם תפקוד תקין, עליות בגודל תקין, אי ספיקה מיטרלית מינימלית, אי ספיקה טריקוספידלית מינימלית, לא ניתן להעריך לחץ דם ריאתי בשל סינגל TR קלוש.  הודגם נוזל פקרידריאלי בכמות גדולה , עם סימני לחץ על עליה הימנית, והחדר הימני ללא שינוים רספירטוריים משמעותיים. IVC אינו מורחב עם קולפס נשימתי תקין.: 1 (0.2%); חדר שמאל בגודל תקין ,תפקודו הסיסטולי הגלובלי תקין  עם היפוקינזיה אחורית קלה, תבנית המילוי הדיאסטולי פסאודונורמלית ,עליה שמאל מורחבת במידה קלה. מודגם PFO עם דלף משמאל לימין.   חדר ימין בגודל ותפקוד תקינים , ל""ד ריאתי מוערך מוגבר במידה קלה.   מסתם אאורטלי מסוייד ללא דלף או הצרות, אנולוס מיטראלי מסוייד, דלף מיטראלי וטריקוספידלי מינימלי : 1 (0.2%); חדר שמאלי מעט מורחב, היפרטרופי, התכווצות גלובלית ואיזורית תקינה, חדר ימני בגודל והתכווצות תקינה, מסתם אורטלי מסוייד עם היצרות קלה, אנולוס מיטרלי מסוייד עם דלף קל מיטרלי על בסיס ה - MAC ניצפה מסה מסויידת ניידת בגודל של 1.1 על 0.7 ס""מ באבחנה מבדלת: מרכיב של ה MAC (במקום ראשון) או וגטציה. דלף קל של טריקספיד, אין עדות ליתר לחץ דם ריאתי, הגדלה קלה של העליה השמאלית.: 1 (0.2%); חדר שמאל בגודל תקין, היפרטרופי, תפקודו הגלובלי והאיזורי תקין. חדר ימין תקין. עליה שמאלית מורחבת במידה קלה. מסתם אורטלי מסוייד, היצרות קלה,דלף עד בינוני.אי ספיקה מיטרלית וטריקוספידלית מינימלית. לחץ דם ריאתי מוערך כתקין.  הודגמה אנאוריזמה בינעלתית.: 1 (0.2%); חדר שמאל עם חלל בגודל תקין, היפרטופי במידה ניכרת במידה ניכרת,תפקודו הסיסטולי הגלובלי תקין ללא הפרעה אזורית, תבנית המילוי הדיאסטולי פסאודונורמלית, עליה שמאל מורחבת במידה קלה.   חדר ימין בגודל ותפקוד תקינים ללא עדות ליל""ד ריאתי (תתכן תת הערכה בשל סיגנל TR חלש) .   מסתם אאורטלי מסוייד עם דלף מינימלי ללא הצרות,דלף מיטראלי וטריקוספידלי מינימלי. : 1 (0.2%); חדר שמאל בגודל תקין ,תפקודו הסיסטולי הגלובלי תקין ללא הפרעה אזורית ,לא ניתן לקבוע תפקוד דיאסטולי, עליה שמאל מורחבת במידה קלה   חדר ימין בגודל ותפקוד תקינים , ל""ד ריאתי מוערך מוגבר במידה קלה   מסתם אאורטלי מסוייד עם הצרות בינונית ללא דלף, אנולוס מיטראלי מסוייד ללא הצרות, דלף מיטראלי קל ודלף טריקוספידלי מינימלי.   מודגם תפליט פריקרדיאלי קל עד בינוני ללא סימני לחץ על מדורים ימניים : 1 (0.2%); עליה שמאלית מורחבת. חדר ימין עם תפקוד ירוד במדיה בינונית, אלקטרודה של קוצב בתוכו(FAC=25). חדר שמאל מורחב עם תפקוד גלובלי ירוד במידה קשה. אקינזיה פוסטירורית, אחורית, קידמית, דיסקינזיה אפיקלית. שאר הדפנות היפוקינטיות. מסתם אורטלי מסויד. אס""ק מיטרלית קלה. אס""ק אורטלית קלה. אס""ק טרקיוספידלית בינונית. יל""ד  ריאתי קל.   בדיקת סינכרוניזציה:   חדר ימין מתכווץ 16 מילישניות אחרי חדר שמאל( לא משמעותי)   YU INDEX=32.9( משמעותי)  בסי הקיר הלטרלי מתכווץ 65 מילישניות אחרי בסיס הספטום( משמעותי)    הקיר הלטרלי מתכווץ אחרון.: 1 (0.2%)"
Weight,float64,continuous,91,14.1,232,False,"min=42.0, max=166.5, median=80.0"
BMI,float64,continuous,124,19.2,471,False,"min=3.74609781477627, max=81.2161599333611, median=27.9430976919727"
MI,datetime64[us],categorical/string/date,452,70.1,175,False,NaT: 452 (70.1%); 2015-01-01 00:00:00: 4 (0.6%); 1998-01-01 00:00:00: 3 (0.5%); 2006-01-01 00:00:00: 3 (0.5%); 2005-01-01 00:00:00: 3 (0.5%); 2011-01-01 00:00:00: 3 (0.5%); 2004-01-01 00:00:00: 2 (0.3%); 2017-09-06 00:00:00: 2 (0.3%); 2023-09-01 00:00:00: 2 (0.3%); 2003-01-01 00:00:00: 2 (0.3%)
CABG,datetime64[us],categorical/string/date,512,79.4,108,False,NaT: 512 (79.4%); 2001-01-01 00:00:00: 7 (1.1%); 1998-01-01 00:00:00: 7 (1.1%); 2006-01-01 00:00:00: 4 (0.6%); 1997-01-01 00:00:00: 3 (0.5%); 2009-11-23 00:00:00: 2 (0.3%); 1992-01-01 00:00:00: 2 (0.3%); 2004-01-01 00:00:00: 2 (0.3%); 2012-01-01 00:00:00: 2 (0.3%); 1993-01-01 00:00:00: 2 (0.3%)
IHD,datetime64[us],categorical/string/date,249,38.6,394,False,NaT: 249 (38.6%); 2015-10-07 00:00:00: 2 (0.3%); 2011-08-23 00:00:00: 2 (0.3%); 2019-07-05 00:00:00: 1 (0.2%); 2009-04-23 00:00:00: 1 (0.2%); 2017-04-20 00:00:00: 1 (0.2%); 2013-05-24 00:00:00: 1 (0.2%); 2021-01-11 00:00:00: 1 (0.2%); 2009-03-19 00:00:00: 1 (0.2%); 2010-11-22 00:00:00: 1 (0.2%)
AFIB,datetime64[us],categorical/string/date,342,53.0,300,False,NaT: 342 (53.0%); 2012-10-22 00:00:00: 2 (0.3%); 2019-09-18 00:00:00: 2 (0.3%); 2015-12-21 00:00:00: 2 (0.3%); 2022-06-26 00:00:00: 1 (0.2%); 2007-09-18 00:00:00: 1 (0.2%); 2016-04-25 00:00:00: 1 (0.2%); 2016-09-20 00:00:00: 1 (0.2%); 2014-10-05 00:00:00: 1 (0.2%); 2016-03-12 00:00:00: 1 (0.2%)
HTN,datetime64[us],categorical/string/date,112,17.4,529,False,NaT: 112 (17.4%); 2019-10-16 00:00:00: 2 (0.3%); 2009-06-05 00:00:00: 2 (0.3%); 2013-10-02 00:00:00: 2 (0.3%); 2011-08-23 00:00:00: 2 (0.3%); 2019-07-05 00:00:00: 1 (0.2%); 2008-09-23 00:00:00: 1 (0.2%); 2020-11-22 00:00:00: 1 (0.2%); 2013-05-24 00:00:00: 1 (0.2%); 2014-10-05 00:00:00: 1 (0.2%)
Diabetes mellitus,datetime64[us],categorical/string/date,235,36.4,409,False,NaT: 235 (36.4%); 2009-10-02 14:53:38.937000: 2 (0.3%); 2019-07-05 03:13:22.487000: 1 (0.2%); 2008-09-23 21:15:28.423000: 1 (0.2%); 2009-09-01 09:56:40.423000: 1 (0.2%); 2010-11-22 09:43:17.200000: 1 (0.2%); 2009-12-28 11:08:49.420000: 1 (0.2%); 2009-10-07 15:54:01.370000: 1 (0.2%); 2023-11-01 10:49:49.343000: 1 (0.2%); 2010-05-07 21:05:05.480000: 1 (0.2%)
DYSLIPIDEMIA,datetime64[us],categorical/string/date,334,51.8,308,False,NaT: 334 (51.8%); 2012-07-25 00:00:00: 2 (0.3%); 2011-10-10 00:00:00: 2 (0.3%); 2011-08-23 00:00:00: 2 (0.3%); 2019-07-05 00:00:00: 1 (0.2%); 2016-04-11 00:00:00: 1 (0.2%); 2009-09-01 00:00:00: 1 (0.2%); 2013-10-24 00:00:00: 1 (0.2%); 2021-01-11 00:00:00: 1 (0.2%); 2009-03-19 00:00:00: 1 (0.2%)
