column,dtype,vtype,n_missing,pct_missing,n_unique,clinical_axis,proposed_status,sample_or_top_levels
ProcedureSummary,str,categorical,0,0.0,644,Echo: Text,Descriptive only — Hebrew free text,"חדר שמאל בגודל תקין, התכווצות גלובלית ירודה במידה בינונית, אקינזיה פוסטריורית,לטרלית, אינפרו-בזלית וספטו-בזלית, הפוקינזיה אנטריורית, תבנית מילוי רסטריקטיבית, עליות בגודל תקין, חדר ימני בגודל תקין, טבעת מסתם מיטרלי מסוידת, אי ספיקה מיטרלית קשה, מסתם אאורטלי מעובה, אי ספיקה אאורטלית וטריקוספידלית קלה, לחץ דם ריאתי מוגבר במידה קשה.: 2 (0.3%); בדיקה בוצעה בשכיבה על הגב.  חדר שמאלי בגודל תקין, ספטום מעובה במדיה קלה, תפקודו הגלובלי הסיסטולי תקין  עם היפוקנזיה ספטלית בלבד.   תבנית מילוי דיאסטולי מתאימה להפרעה דרגה 1 ( הפרעה בהרפיה).   חדר ימין בגודל ותפקוד תקינים   עליה שמאלית מרוחבת במדיה קלה   מסתם אאורטלי מסוייד תלת עלי  מפתחו מוגבלת במידה קלה מאוד עם דלף מנימלי  והצרות קלה.   מסתם מטרלי עם דלף מנימלי   מסתם טריקוספידלי עם דלף מנימלי   לחץף דם ראתי סיסטולי לא ניתן להערכה בהעדר סגנל TR דופלר מספק  IVC אינו מורחב ועובר תמט נשימתי הולם באינספיריום    ללא עדות לתפליט פריקרדיאלי    אאורטה  עולה ברוחב תקין: 1 (0.2%); חדר שמאל בגודל ותפקוד תקין, תבנית המילוי פסאדונורמלית, היפוקינזיה אינפרובזלית ואפיקלית, חדר ימין בגודל ותפקוד תקין, הרחבה של עליה שמאלית, הסתידות בטבעת המסתם המיטרלי, אי ספיקה מיטרלית קלה עם סילון אקסנטרי קדמי, מסתם אאורטלי מעובה, אי ספיקה טריקוספידלית מינימלית, לחץ ראתי מוגבר במידה בינונית, הודגם תפליט פלאורלי מימין.: 1 (0.2%); חדר שמאל בגודל תקין, התכווצותו הגלובלית ואיזורית תקינה, חדר ימין עם תפקוד תקין, עליות בגודל תקין, אי ספיקה מיטרלית מינימלית, אי ספיקה טריקוספידלית מינימלית, לא ניתן להעריך לחץ דם ריאתי בשל סינגל TR קלוש.  הודגם נוזל פקרידריאלי בכמות גדולה , עם סימני לחץ על עליה הימנית, והחדר הימני ללא שינוים רספירטוריים משמעותיים. IVC אינו מורחב עם קולפס נשימתי תקין.: 1 (0.2%); חדר שמאל בגודל תקין ,תפקודו הסיסטולי הגלובלי תקין  עם היפוקינזיה אחורית קלה, תבנית המילוי הדיאסטולי פסאודונורמלית ,עליה שמאל מורחבת במידה קלה. מודגם PFO עם דלף משמאל לימין.   חדר ימין בגודל ותפקוד תקינים , ל""ד ריאתי מוערך מוגבר במידה קלה.   מסתם אאורטלי מסוייד ללא דלף או הצרות, אנולוס מיטראלי מסוייד, דלף מיטראלי וטריקוספידלי מינימלי: 1 (0.2%); חדר שמאלי מעט מורחב, היפרטרופי, התכווצות גלובלית ואיזורית תקינה, חדר ימני בגודל והתכווצות תקינה, מסתם אורטלי מסוייד עם היצרות קלה, אנולוס מיטרלי מסוייד עם דלף קל מיטרלי על בסיס ה - MAC ניצפה מסה מסויידת ניידת בגודל של 1.1 על 0.7 ס""מ באבחנה מבדלת: מרכיב של ה MAC (במקום ראשון) או וגטציה. דלף קל של טריקספיד, אין עדות ליתר לחץ דם ריאתי, הגדלה קלה של העליה השמאלית.: 1 (0.2%); חדר שמאל בגודל תקין, היפרטרופי, תפקודו הגלובלי והאיזורי תקין. חדר ימין תקין. עליה שמאלית מורחבת במידה קלה. מסתם אורטלי מסוייד, היצרות קלה,דלף עד בינוני.אי ספיקה מיטרלית וטריקוספידלית מינימלית. לחץ דם ריאתי מוערך כתקין.  הודגמה אנאוריזמה בינעלתית.: 1 (0.2%); חדר שמאל עם חלל בגודל תקין, היפרטופי במידה ניכרת במידה ניכרת,תפקודו הסיסטולי הגלובלי תקין ללא הפרעה אזורית, תבנית המילוי הדיאסטולי פסאודונורמלית, עליה שמאל מורחבת במידה קלה.   חדר ימין בגודל ותפקוד תקינים ללא עדות ליל""ד ריאתי (תתכן תת הערכה בשל סיגנל TR חלש) .   מסתם אאורטלי מסוייד עם דלף מינימלי ללא הצרות,דלף מיטראלי וטריקוספידלי מינימלי.: 1 (0.2%)"
Weight,float64,continuous,90,14.0,233,Clinical,Descriptive only (held for Stage 4 per DEC-017),"min=9.0, max=166.5, median=80.0"
BMI,float64,continuous,121,18.8,488,Clinical,Descriptive only (held for Stage 4 per DEC-017),"min=3.7460978147762747, max=338020.5516495403, median=27.975312795096144"
MI,datetime64[us],date,453,70.2,174,Clinical (date),Excluded — date kept; binary used,"min=1981-01-01 00:00:00, max=2024-12-01 00:00:00"
CABG,datetime64[us],date,512,79.4,108,Clinical (date),Excluded — date kept; binary used,"min=1986-01-01 00:00:00, max=2025-03-28 00:00:00"
IHD,datetime64[us],date,249,38.6,394,Clinical (date),Excluded — date kept; binary used,"min=2004-01-01 00:00:00, max=2025-03-28 23:10:32.497000"
AFIB,datetime64[us],date,342,53.0,300,Clinical (date),Excluded — date kept; binary used,"min=1997-04-18 00:00:00, max=2025-05-06 03:02:52.307000"
HTN,datetime64[us],date,112,17.4,529,Clinical (date),Excluded — date kept; binary used,"min=2003-05-09 20:07:54, max=2025-04-15 09:45:31.333000"
Diabetes mellitus,datetime64[us],date,235,36.4,409,Clinical (date),Excluded — date kept; binary used,"min=2007-03-05 13:05:10.947000, max=2025-05-30 07:50:31.340000"
DYSLIPIDEMIA,datetime64[us],date,334,51.8,308,Clinical (date),Excluded — date kept; binary used,"min=2007-08-20 00:00:00, max=2025-05-30 07:50:31.340000"
