outcome,model,predictor,type,term,level,reference_level,contrast,effect_label,effect,ci_lower,ci_upper,beta,se,pvalue,qvalue,n,events,person_years,n_nonmissing,level_count,ref_count,mean,sd,status
one_year_mortality,logistic,LV_EF,continuous,LV_EF__z,,,per 1 SD,OR,0.7121986178785313,0.6046026961660912,0.838942456797694,-0.3393984487770581,0.0835654582126642,4.876506747353354e-05,0.00034135547231473474,613,237,,613,,,46.633768352365415,15.975063850410208,ok
survival,cox,LV_EF,continuous,LV_EF__z,,,per 1 SD,HR,0.811830527853132,0.7453743597925007,0.884211802157735,-0.208463670143804,0.04357479064701479,1.7180394477011723e-06,1.5032845167385258e-05,640,501,,640,,,46.73671875,15.808413159414204,ok
hospitalization,negbin,LV_EF,continuous,LV_EF__z,,,per 1 SD,IRR,0.8351767962845849,0.7536291030963596,0.9255484935313034,-0.1801118444660072,0.052420908777736294,0.0005906369934731417,0.0023726332926470185,640,1164,1615.2470910335387,640,,,46.73671875,15.808413159414204,ok
one_year_mortality,logistic,LeftVentricleEstimatedMassIndex,continuous,LeftVentricleEstimatedMassIndex__z,,,per 1 SD,OR,1.0203473366770794,0.8596411545523523,1.2110968419213872,0.02014309548430719,0.08744208352665774,0.8178125994330316,0.86737699939867,556,209,,556,,,120.05395683453237,34.89237974824059,ok
survival,cox,LeftVentricleEstimatedMassIndex,continuous,LeftVentricleEstimatedMassIndex__z,,,per 1 SD,HR,1.0465292547222722,0.9579163499186822,1.1433393751787706,0.045479217336191265,0.04514064557837592,0.31369437772920106,0.378596662776622,578,453,,578,,,119.61418685121107,34.97711466874897,ok
hospitalization,negbin,LeftVentricleEstimatedMassIndex,continuous,LeftVentricleEstimatedMassIndex__z,,,per 1 SD,IRR,1.0556413284934214,0.9511393134886172,1.171625017092401,0.05414847654169183,0.05318628962251645,0.3086347678266381,0.41546987976662825,578,1078,1512.249144421629,578,,,119.61418685121107,34.97711466874897,ok
one_year_mortality,logistic,MitralInflowPeakEWave,continuous,MitralInflowPeakEWave__z,,,per 1 SD,OR,1.194531207743949,1.006160986809408,1.418167495043722,0.17775381364081064,0.08755861305121025,0.042345129815571494,0.12751482470506567,558,213,,558,,,105.16263442227488,31.5616791271,ok
survival,cox,MitralInflowPeakEWave,continuous,MitralInflowPeakEWave__z,,,per 1 SD,HR,1.1604615040102408,1.0589346793610743,1.2717223531693629,0.14881777428231954,0.04671228232860359,0.0014433528524089646,0.0038859499872549047,581,456,,581,,,105.41368332828381,31.38803896569078,ok
hospitalization,negbin,MitralInflowPeakEWave,continuous,MitralInflowPeakEWave__z,,,per 1 SD,IRR,1.3162750782383992,1.1850465352390256,1.4620354813678607,0.27480583707725204,0.053584552494701045,2.921334435125536e-07,2.556167630734844e-06,581,1099,1479.0828199863108,581,,,105.41368332828381,31.38803896569078,ok
one_year_mortality,logistic,TissueDopplerEERatioLateral,continuous,TissueDopplerEERatioLateral__z,,,per 1 SD,OR,1.0148990830600337,0.8466909749655985,1.2165243037318871,0.014789181994085398,0.09245510676928367,0.8729120460282468,0.89858592973496,501,185,,501,,,15.735968096498933,6.914277609041933,ok
survival,cox,TissueDopplerEERatioLateral,continuous,TissueDopplerEERatioLateral__z,,,per 1 SD,HR,1.1741611469080633,1.067358099481902,1.2916512270602156,0.160553975110599,0.048657754154516696,0.000968025248183206,0.0028234069738676845,522,408,,522,,,15.797279721219855,6.947281254563327,ok
hospitalization,negbin,TissueDopplerEERatioLateral,continuous,TissueDopplerEERatioLateral__z,,,per 1 SD,IRR,1.270398748515644,1.1363789392740975,1.4202242970650785,0.2393308263997673,0.056880631123184595,2.580995509341383e-05,0.00018066968565389683,522,973,1357.5605749486654,522,,,15.797279721219855,6.947281254563327,ok
one_year_mortality,logistic,TissueDopplerEERatioSeptal,continuous,TissueDopplerEERatioSeptal__z,,,per 1 SD,OR,1.2775174304722416,1.06539622208629,1.5318721348236708,0.24491868720791835,0.09264043581955786,0.008199179205099695,0.033361329480461485,501,187,,501,,,21.388423139225672,9.392935638229607,ok
survival,cox,TissueDopplerEERatioSeptal,continuous,TissueDopplerEERatioSeptal__z,,,per 1 SD,HR,1.2976611593596552,1.1826382965043447,1.4238710935439913,0.2605635359437451,0.04735584402772707,3.7498177196890145e-08,6.562181009455776e-07,522,408,,522,,,21.48986588492702,9.43069149383022,ok
hospitalization,negbin,TissueDopplerEERatioSeptal,continuous,TissueDopplerEERatioSeptal__z,,,per 1 SD,IRR,1.3647258704360752,1.2211972228589478,1.525123597216553,0.3109535809490177,0.05669587505578154,4.144314584240127e-08,7.252550522420223e-07,522,968,1353.467488021903,522,,,21.48986588492702,9.43069149383022,ok
one_year_mortality,logistic,TissueDopplerEVelosityLateral,continuous,TissueDopplerEVelosityLateral__z,,,per 1 SD,OR,1.2020477829343175,1.0051970329659217,1.4374484057060426,0.1840265881800613,0.09124811200263022,0.04371936847030823,0.12751482470506567,509,189,,509,,,7.343143407862871,2.610976133205384,ok
survival,cox,TissueDopplerEVelosityLateral,continuous,TissueDopplerEVelosityLateral__z,,,per 1 SD,HR,0.996424717808392,0.8974296112840264,1.106339935495291,-0.0035816887878006003,0.05338817512544633,0.9465119020446339,0.946511902044634,530,414,,530,,,7.347301876769872,2.6180739491933656,ok
hospitalization,negbin,TissueDopplerEVelosityLateral,continuous,TissueDopplerEVelosityLateral__z,,,per 1 SD,IRR,0.9009144343560606,0.7988107981580328,1.0160689113150025,-0.10434499330184666,0.061371620705429536,0.08909035943567066,0.17073444902988305,530,991,1367.6550308008214,530,,,7.347301876769872,2.6180739491933656,ok
one_year_mortality,logistic,TissueDopplerEVelositySeptal,continuous,TissueDopplerEVelositySeptal__z,,,per 1 SD,OR,0.9230826230641764,0.768617455539536,1.108589875056788,-0.08003653270641038,0.0934330217407395,0.3916552979518042,0.5483174171325259,509,191,,509,,,5.380805498021991,1.8981803153318155,ok
survival,cox,TissueDopplerEVelositySeptal,continuous,TissueDopplerEVelositySeptal__z,,,per 1 SD,HR,0.8123946120846023,0.7201801009534181,0.9164166086654758,-0.2077690813946474,0.06147300541975476,0.0007252735690171343,0.002307688628690882,530,414,,530,,,5.383396222006598,1.9136104307523942,ok
hospitalization,negbin,TissueDopplerEVelositySeptal,continuous,TissueDopplerEVelositySeptal__z,,,per 1 SD,IRR,0.7934927892785081,0.6985406105021952,0.9013517570357611,-0.23131082629261707,0.06502728473578842,0.00037492159845117903,0.0021870426576318775,530,986,1363.5619438740587,530,,,5.383396222006598,1.9136104307523942,ok
one_year_mortality,logistic,LACavitySize,categorical,LACavitySize__Moderately dilated,Moderately dilated,Mildly dilated,Moderately dilated vs Mildly dilated,OR,1.4080459770114941,0.9601133716934636,2.0649576725312375,0.3422029113301979,0.1953642109393208,0.07984000601240339,0.1746500131521324,578,229,,578,165.0,312.0,,,ok
one_year_mortality,logistic,LACavitySize,categorical,LACavitySize__Normal,Normal,Mildly dilated,Normal vs Mildly dilated,OR,0.6244377811094455,0.34207383317245427,1.1398783089038875,-0.470903584308726,0.3070592618991427,0.12513009234115366,0.2433085128855766,578,229,,578,63.0,312.0,,,ok
one_year_mortality,logistic,LACavitySize,categorical,LACavitySize__Severely dilated,Severely dilated,Mildly dilated,Severely dilated vs Mildly dilated,OR,2.087221095334686,1.0580362898364508,4.117525970194787,0.7358335617913596,0.34664868022583223,0.033778416488641806,0.11822445771024633,578,229,,578,38.0,312.0,,,ok
survival,cox,LACavitySize,categorical,LACavitySize__Moderately dilated,Moderately dilated,Mildly dilated,Moderately dilated vs Mildly dilated,HR,1.1788264677384648,0.9580533795869675,1.450474337494471,0.1645194247498515,0.10580358064217285,0.11995764690568504,0.18254424529125984,601,478,,601,170.0,324.0,,,ok
survival,cox,LACavitySize,categorical,LACavitySize__Normal,Normal,Mildly dilated,Normal vs Mildly dilated,HR,0.7903459853400702,0.5758780476140747,1.0846858621042177,-0.23528447326919166,0.1615207691686396,0.1452040504409085,0.2036618464656394,601,478,,601,67.0,324.0,,,ok
survival,cox,LACavitySize,categorical,LACavitySize__Severely dilated,Severely dilated,Mildly dilated,Severely dilated vs Mildly dilated,HR,1.8967228712113298,1.3340376744908646,2.696743666965147,0.6401275923586619,0.17955299500022717,0.0003636926933128861,0.0012729244265951014,601,478,,601,40.0,324.0,,,ok
