outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
one_year_mortality_logistic,LeftVentricleEstimatedMassIndex,main_candidate,LeftVentricleEstimatedMassIndex__z,per 1 SD increase,continuous,continuous_per_1SD,,556,209,OR,1.020347336677077,0.8596411576964602,1.2110968374918367,0.8178125956133043,0.020143095484304874,-0.15124023530361966,0.1915264262722294,,0.9062247681120399,0.020143095484304874
one_year_mortality_logistic,MI_binary,main_candidate,MI_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,0.8833910034602201,0.6199712107427673,1.258735327499332,0.4925320382621846,-0.12398736386497987,-0.4780822363069639,0.23010750857700413,,0.673127118958319,0.12398736386497987
one_year_mortality_logistic,MitralInflowPeakEWave,main_candidate,MitralInflowPeakEWave__z,per 1 SD increase,continuous,continuous_per_1SD,,558,213,OR,1.1945312077438857,1.0061610000202152,1.4181674764231547,0.04234511403095553,0.17775381364075765,0.006142098654073808,0.3493655286274415,,0.13788411445869225,0.17775381364075765
one_year_mortality_logistic,TissueDopplerEERatioLateral,main_candidate,TissueDopplerEERatioLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,501,185,OR,1.0148990830600306,0.8466909796962915,1.2165242969348269,0.8729120421430308,0.014789181994082254,-0.1664194918732437,0.1959978558614082,,0.9176767622529297,0.014789181994082254
one_year_mortality_logistic,TissueDopplerEERatioSeptal,main_candidate,TissueDopplerEERatioSeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,501,187,OR,1.2775174304720878,1.0653962479537067,1.5318720976300275,0.008199170642287508,0.24491868720779789,0.06334679376911151,0.42649058064648426,,0.039080414359377896,0.24491868720779789
one_year_mortality_logistic,TissueDopplerEVelosityLateral,main_candidate,TissueDopplerEVelosityLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,509,189,OR,1.2020477829342469,1.0051970458625132,1.437448387263534,0.043719353364951204,0.18402658818000256,0.005183587827543218,0.3628695885324619,,0.13788411445869225,0.18402658818000256
one_year_mortality_logistic,TissueDopplerEVelositySeptal,main_candidate,TissueDopplerEVelositySeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,509,191,OR,0.9230826230642325,0.768617475208144,1.1085898466885593,0.3916552317762555,-0.08003653270634967,-0.26316186469541475,0.10308879928271542,,0.6176101731856337,0.08003653270634967
one_year_mortality_logistic,albumin-numeric result,main_candidate,albumin-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,616,239,OR,0.6591719376839668,0.5557253488097832,0.7818747954554097,1.709497718757865e-06,-0.41677087155398707,-0.5874810837391891,-0.24606065936878507,,2.3363135489690823e-05,0.41677087155398707
one_year_mortality_logistic,creatinine-numeric result,main_candidate,creatinine-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,616,239,OR,0.634969947861666,0.5313042081211606,0.7588624906872612,5.90956521059733e-07,-0.45417760741146607,-0.632420525132814,-0.27593468969011814,,1.2114608681724526e-05,0.45417760741146607
one_year_mortality_logistic,crp-numeric result,main_candidate,crp-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,592,234,OR,1.1716370129830724,0.9937912813867995,1.3813094518964755,0.059319603233735474,0.15840192729820035,-0.006228072858236566,0.32303192745463727,,0.15318298191751778,0.15840192729820035
one_year_mortality_logistic,days_echo_to_dialysis,main_candidate,days_echo_to_dialysis__z,per 1 SD increase,continuous,continuous_per_1SD,,617,239,OR,0.8992664460036706,0.7651648274506294,1.0568705093285942,0.1975212654073243,-0.10617590799574445,-0.2676640076441515,0.0553121916526626,,0.3521031252913172,0.10617590799574445
one_year_mortality_logistic,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__after_dialysis,after_dialysis vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,617,239,OR,0.5703333333346338,0.34109545750225717,0.9536336645891628,0.03227599884310787,-0.5615342937557731,-1.075592906848624,-0.04747568066292207,,0.1259013680156502,0.5615342937557731
one_year_mortality_logistic,hb-numeric result,main_candidate,hb-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,551,207,OR,0.8628874994682599,0.723896470934813,1.0285653634656762,0.0998329252601782,-0.14747095622449408,-0.32310689276770665,0.028164980318718502,,0.2273972186481837,0.14747095622449408
one_year_mortality_logistic,m/f,main_candidate,m/f__level__f,f vs m,categorical,categorical_dummy_vs_reference,m,616,239,OR,1.009090909090909,0.710559333993799,1.4330463539006915,0.959668646633253,0.009049835519917827,-0.34170282473641006,0.35980249577624573,,0.959668646633253,0.009049835519917827
one_year_mortality_logistic,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Moderate-to-Severe,Moderate-to-Severe vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),571,221,OR,1.3812789620018455,0.8789313092581063,2.170740250997947,0.1613769409207758,0.32300985402923826,-0.129048530814597,0.7750682388730735,,0.3073597118039197,0.32300985402923826
one_year_mortality_logistic,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),573,228,OR,0.37450000000043077,0.23319509848063102,0.6014288075268943,4.8316705098593515e-05,-0.9821634760237127,-1.4558798432488573,-0.5084471087985681,,0.0003998726650015705,0.9821634760237127
survival_cox,AFIB_binary,main_candidate,AFIB_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,505,HR,1.4258676607726395,1.1965810740919272,1.6990897065459067,7.296810566774125e-05,0.35478051317823395,0.17946838544551072,0.5300926409109572,,0.0004986153887295652,0.35478051317823395
survival_cox,AgeAtFirstHFDate,main_candidate,AgeAtFirstHFDate__z,per 1 SD increase,continuous,continuous_per_1SD,,644,505,HR,1.4939096615578544,1.3577616360202607,1.6437097776878125,1.828280669188732e-16,0.40139661738430327,0.30583748797177923,0.4969557467968273,,7.4959507436738e-15,0.40139661738430327
survival_cox,CABG_binary,main_candidate,CABG_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,505,HR,1.1863021231847226,0.9594339630257799,1.466815624323241,0.114665970874616,0.17084100943694164,-0.041411790263721326,0.3830938091376046,,0.20636740341735402,0.17084100943694164
survival_cox,COPD_binary,main_candidate,COPD_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,505,HR,1.2859333221856817,1.020820441315533,1.6198975276949543,0.03276938810941097,0.25148477547097425,0.020606658207594136,0.4823628927343544,,0.0707128901308342,0.25148477547097425
survival_cox,Diabetes mellitus_binary,main_candidate,Diabetes mellitus_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,505,HR,0.9608760156127872,0.8005829548265408,1.1532630214191226,0.6682134901457848,-0.03990989434679387,-0.22241512314925946,0.1425953344556717,,0.7438422678459716,0.03990989434679387
survival_cox,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Normal,Normal vs Severely increased,categorical,categorical_dummy_vs_reference,Severely increased,525,425,HR,0.6346358879538585,0.4745150015426025,0.8487881499418135,0.0021759667832166184,-0.4547038493459202,-0.7454620459575136,-0.16394565273432676,,0.00594764254079209,0.4547038493459202
survival_cox,EstimatedSysPAPressure,main_candidate,EstimatedSysPAPressure__z,per 1 SD increase,continuous,continuous_per_1SD,,536,434,HR,1.1987226152514419,1.0890197311443963,1.3194764678921405,0.0002144021649307403,0.18125650253450387,0.08527796237657932,0.27723504269242844,,0.0010988110952700441,0.18125650253450387
survival_cox,HD/PD,main_candidate,HD/PD__level__PD,PD vs HD,categorical,categorical_dummy_vs_reference,HD,644,505,HR,1.1728106543872658,0.946608791497669,1.453065768455494,0.14482113741379138,0.15940313668202938,-0.05486937410575962,0.3736756474698184,,0.22846319297828352,0.15940313668202938
survival_cox,HTN_binary,main_candidate,HTN_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,505,HR,1.2774974278941287,1.0134176244720245,1.6103920425958271,0.03819361575652644,0.24490302970358097,0.013328405335347154,0.47647765407181475,,0.07829691230087919,0.24490302970358097
survival_cox,IHD_binary,main_candidate,IHD_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,505,HR,0.7570243575532403,0.6296921556398531,0.9101048390011509,0.0030521462443027923,-0.2783598496379786,-0.46252422086239164,-0.0941954784135656,,0.007821124751025905,0.2783598496379786
survival_cox,LACavitySize,main_candidate,LACavitySize__level__Severely_dilated,Severely dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,601,478,HR,1.89516874720486,1.332937942798241,2.6945474842152404,0.0003701463898433407,0.6393078832267116,0.28738548557292126,0.991230280880502,,0.0015176001983576968,0.6393078832267116
survival_cox,LV_EF,main_candidate,LV_EF__z,per 1 SD increase,continuous,continuous_per_1SD,,640,501,HR,0.8120195045457099,0.7455471760069275,0.8844184472593768,1.7647636544566057e-06,-0.20823091873245372,-0.2936368657507612,-0.12282497171414622,,1.808882745818021e-05,0.20823091873245372
survival_cox,LeftVentricleEstimatedMassIndex,main_candidate,LeftVentricleEstimatedMassIndex__z,per 1 SD increase,continuous,continuous_per_1SD,,578,453,HR,1.0465640633685431,0.9579448341570292,1.1433814345878415,0.3133598875424818,0.0455124778181518,-0.042965087056555586,0.1339900426928592,,0.4144437222336049,0.0455124778181518
survival_cox,MI_binary,main_candidate,MI_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,505,HR,1.0874920242329746,0.9028764055988533,1.3098569144532253,0.3769062272640724,0.08387414991516393,-0.10216960580895626,0.2699179056392841,,0.46827743387354454,0.08387414991516393
survival_cox,MitralInflowPeakEWave,main_candidate,MitralInflowPeakEWave__z,per 1 SD increase,continuous,continuous_per_1SD,,581,456,HR,1.1602904717539435,1.058780938835893,1.2715321266769197,0.0014587882306868825,0.1486703804561864,0.057118188598156844,0.24022257231421598,,0.00460079365062786,0.1486703804561864
survival_cox,TissueDopplerEERatioLateral,main_candidate,TissueDopplerEERatioLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,522,408,HR,1.1737608510179802,1.06702046220142,1.2911791143536515,0.0009894820650995098,0.1602129962413564,0.06487014945665233,0.2555558430260605,,0.0033807303890899918,0.1602129962413564
survival_cox,TissueDopplerEERatioSeptal,main_candidate,TissueDopplerEERatioSeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,522,408,HR,1.2973333292642035,1.1823374762729477,1.423513845239223,3.867259231562687e-08,0.26031087251911517,0.16749339115412432,0.353128353884106,,7.927881424703509e-07,0.26031087251911517
survival_cox,TissueDopplerEVelosityLateral,main_candidate,TissueDopplerEVelosityLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,530,414,HR,0.9965238383002154,0.8975317735072912,1.1064341002881797,0.9479881179515866,-0.003482217588103767,-0.10810675700981139,0.10114232183360385,,0.9479881179515864,0.003482217588103767
