dataset,variable,role,n,n_missing,pct_missing,n_nonmissing,n_unique_nonmissing
one_year_mortality,dbp-numeric result,sensitivity_exploratory_predictor,617,134,21.72,483,75
one_year_mortality,hba1c-numeric result,sensitivity_exploratory_predictor,617,63,10.21,554,70
one_year_mortality,k-numeric result,sensitivity_exploratory_predictor,617,3,0.49,614,69
one_year_mortality,na-numeric result,sensitivity_exploratory_predictor,617,3,0.49,614,56
one_year_mortality,p-numeric result,sensitivity_exploratory_predictor,617,1,0.16,616,129
one_year_mortality,sbp-numeric result,sensitivity_exploratory_predictor,617,147,23.82,470,115
one_year_mortality,ua-numeric result,sensitivity_exploratory_predictor,617,1,0.16,616,146
one_year_mortality,urea-numeric result,sensitivity_exploratory_predictor,617,4,0.65,613,266
one_year_mortality,years_since_MI,sensitivity_exploratory_predictor,617,493,79.9,124,113
one_year_mortality,died_1year,outcome_or_denominator,617,0,0.0,617,2
one_year_mortality,event,outcome_or_denominator,617,0,0.0,617,2
one_year_mortality,time_to_event_days,outcome_or_denominator,617,0,0.0,617,495
one_year_mortality,hosp_total,outcome_or_denominator,617,0,0.0,617,11
one_year_mortality,followup_days,outcome_or_denominator,617,0,0.0,617,495
survival,AFIB_binary,main_predictor,644,0,0.0,644,2
survival,AgeAtFirstHFDate,main_predictor,644,0,0.0,644,435
survival,CABG_binary,main_predictor,644,0,0.0,644,2
survival,COPD_binary,main_predictor,644,0,0.0,644,2
survival,Diabetes mellitus_binary,main_predictor,644,0,0.0,644,2
survival,HD/PD,main_predictor,644,0,0.0,644,2
survival,HTN_binary,main_predictor,644,0,0.0,644,2
survival,IHD_binary,main_predictor,644,0,0.0,644,2
survival,MI_binary,main_predictor,644,0,0.0,644,2
survival,albumin-numeric result,main_predictor,644,1,0.16,643,39
survival,creatinine-numeric result,main_predictor,644,1,0.16,643,428
survival,crp-numeric result,main_predictor,644,25,3.88,619,594
survival,hb-numeric result,main_predictor,644,66,10.25,578,105
survival,m/f,main_predictor,644,1,0.16,643,2
survival,LV_EF,main_predictor,644,4,0.62,640,35
survival,LeftVentricleEstimatedMassIndex,main_predictor,644,66,10.25,578,146
survival,MitralInflowPeakEWave,main_predictor,644,63,9.78,581,302
survival,TissueDopplerEERatioLateral,main_predictor,644,122,18.94,522,451
survival,TissueDopplerEERatioSeptal,main_predictor,644,122,18.94,522,473
survival,TissueDopplerEVelosityLateral,main_predictor,644,114,17.7,530,254
survival,TissueDopplerEVelositySeptal,main_predictor,644,114,17.7,530,244
survival,LACavitySize,main_predictor,644,43,6.68,601,4
survival,ECHO_SPAP,main_predictor,644,119,18.48,525,4
survival,EstimatedSysPAPressure,main_predictor,644,108,16.77,536,77
survival,tricuspid_regurgitation_clin_grouped,main_predictor,644,45,6.99,599,4
survival,mitral_regurgitation_clin_grouped,main_predictor,644,48,7.45,596,4
survival,days_echo_to_dialysis,main_predictor,644,0,0.0,644,296
survival,BMI,sensitivity_exploratory_predictor,644,125,19.41,519,469
survival,DYSLIPIDEMIA_binary,sensitivity_exploratory_predictor,644,0,0.0,644,2
survival,OncologicalDiagnosis_binary,sensitivity_exploratory_predictor,644,0,0.0,644,2
survival,Weight,sensitivity_exploratory_predictor,644,90,13.98,554,232
survival,LeftVentricleScoreIndex,sensitivity_exploratory_predictor,644,5,0.78,639,45
survival,LeftVentricleSystolicFunction,sensitivity_exploratory_predictor,644,75,11.65,569,7
survival,TissueDopplerSVelocityLateral,sensitivity_exploratory_predictor,644,131,20.34,513,232
survival,TissueDopplerSVelocitySeptal,sensitivity_exploratory_predictor,644,203,31.52,441,201
survival,lv_cavity_size_clin_grouped,sensitivity_exploratory_predictor,644,74,11.49,570,4
survival,LeftVentricleEndDiastolicDiameter,sensitivity_exploratory_predictor,644,8,1.24,636,246
survival,LeftVentricleEndSystolicDiameter,sensitivity_exploratory_predictor,644,9,1.4,635,272
survival,LeftVentricleEstimatedMass,sensitivity_exploratory_predictor,644,16,2.48,628,561
survival,LeftVentricleInterventricularSeptumThickness,sensitivity_exploratory_predictor,644,8,1.24,636,117
survival,LeftVentriclePosteriorWallThickness,sensitivity_exploratory_predictor,644,13,2.02,631,99
survival,lv_wall_thickness_clin_grouped,sensitivity_exploratory_predictor,644,243,37.73,401,3
survival,rv_size_clin_grouped,sensitivity_exploratory_predictor,644,345,53.57,299,4
survival,RVSystolicFunction,sensitivity_exploratory_predictor,644,341,52.95,303,4
survival,aortic_regurgitation_clin_grouped,sensitivity_exploratory_predictor,644,342,53.11,302,3
survival,aortic_valve_structure_clin_grouped,sensitivity_exploratory_predictor,644,195,30.28,449,5
survival,GFR,sensitivity_exploratory_predictor,644,1,0.16,643,615
survival,ca-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,58
survival,dbp-numeric result,sensitivity_exploratory_predictor,644,137,21.27,507,77
survival,hba1c-numeric result,sensitivity_exploratory_predictor,644,64,9.94,580,71
survival,k-numeric result,sensitivity_exploratory_predictor,644,3,0.47,641,69
survival,na-numeric result,sensitivity_exploratory_predictor,644,3,0.47,641,56
survival,p-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,129
survival,sbp-numeric result,sensitivity_exploratory_predictor,644,164,25.47,480,115
survival,ua-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,148
survival,urea-numeric result,sensitivity_exploratory_predictor,644,4,0.62,640,267
survival,years_since_MI,sensitivity_exploratory_predictor,644,516,80.12,128,117
survival,died_1year,outcome_or_denominator,644,27,4.19,617,2
survival,event,outcome_or_denominator,644,0,0.0,644,2
survival,time_to_event_days,outcome_or_denominator,644,0,0.0,644,511
survival,hosp_total,outcome_or_denominator,644,0,0.0,644,11
survival,followup_days,outcome_or_denominator,644,0,0.0,644,511
hospitalization,AFIB_binary,main_predictor,644,0,0.0,644,2
hospitalization,AgeAtFirstHFDate,main_predictor,644,0,0.0,644,435
hospitalization,CABG_binary,main_predictor,644,0,0.0,644,2
hospitalization,COPD_binary,main_predictor,644,0,0.0,644,2
hospitalization,Diabetes mellitus_binary,main_predictor,644,0,0.0,644,2
hospitalization,HD/PD,main_predictor,644,0,0.0,644,2
hospitalization,HTN_binary,main_predictor,644,0,0.0,644,2
hospitalization,IHD_binary,main_predictor,644,0,0.0,644,2
hospitalization,MI_binary,main_predictor,644,0,0.0,644,2
hospitalization,albumin-numeric result,main_predictor,644,1,0.16,643,39
hospitalization,creatinine-numeric result,main_predictor,644,1,0.16,643,428
hospitalization,crp-numeric result,main_predictor,644,25,3.88,619,594
hospitalization,hb-numeric result,main_predictor,644,66,10.25,578,105
hospitalization,m/f,main_predictor,644,1,0.16,643,2
hospitalization,LV_EF,main_predictor,644,4,0.62,640,35
hospitalization,LeftVentricleEstimatedMassIndex,main_predictor,644,66,10.25,578,146
hospitalization,MitralInflowPeakEWave,main_predictor,644,63,9.78,581,302
hospitalization,TissueDopplerEERatioLateral,main_predictor,644,122,18.94,522,451
hospitalization,TissueDopplerEERatioSeptal,main_predictor,644,122,18.94,522,473
hospitalization,TissueDopplerEVelosityLateral,main_predictor,644,114,17.7,530,254
hospitalization,TissueDopplerEVelositySeptal,main_predictor,644,114,17.7,530,244
hospitalization,LACavitySize,main_predictor,644,43,6.68,601,4
hospitalization,ECHO_SPAP,main_predictor,644,119,18.48,525,4
hospitalization,EstimatedSysPAPressure,main_predictor,644,108,16.77,536,77
hospitalization,tricuspid_regurgitation_clin_grouped,main_predictor,644,45,6.99,599,4
hospitalization,mitral_regurgitation_clin_grouped,main_predictor,644,48,7.45,596,4
hospitalization,days_echo_to_dialysis,main_predictor,644,0,0.0,644,296
hospitalization,BMI,sensitivity_exploratory_predictor,644,125,19.41,519,469
hospitalization,DYSLIPIDEMIA_binary,sensitivity_exploratory_predictor,644,0,0.0,644,2
hospitalization,OncologicalDiagnosis_binary,sensitivity_exploratory_predictor,644,0,0.0,644,2
hospitalization,Weight,sensitivity_exploratory_predictor,644,90,13.98,554,232
hospitalization,LeftVentricleScoreIndex,sensitivity_exploratory_predictor,644,5,0.78,639,45
hospitalization,LeftVentricleSystolicFunction,sensitivity_exploratory_predictor,644,75,11.65,569,7
hospitalization,TissueDopplerSVelocityLateral,sensitivity_exploratory_predictor,644,131,20.34,513,232
hospitalization,TissueDopplerSVelocitySeptal,sensitivity_exploratory_predictor,644,203,31.52,441,201
hospitalization,lv_cavity_size_clin_grouped,sensitivity_exploratory_predictor,644,74,11.49,570,4
hospitalization,LeftVentricleEndDiastolicDiameter,sensitivity_exploratory_predictor,644,8,1.24,636,246
hospitalization,LeftVentricleEndSystolicDiameter,sensitivity_exploratory_predictor,644,9,1.4,635,272
hospitalization,LeftVentricleEstimatedMass,sensitivity_exploratory_predictor,644,16,2.48,628,561
hospitalization,LeftVentricleInterventricularSeptumThickness,sensitivity_exploratory_predictor,644,8,1.24,636,117
hospitalization,LeftVentriclePosteriorWallThickness,sensitivity_exploratory_predictor,644,13,2.02,631,99
hospitalization,lv_wall_thickness_clin_grouped,sensitivity_exploratory_predictor,644,243,37.73,401,3
hospitalization,rv_size_clin_grouped,sensitivity_exploratory_predictor,644,345,53.57,299,4
hospitalization,RVSystolicFunction,sensitivity_exploratory_predictor,644,341,52.95,303,4
hospitalization,aortic_regurgitation_clin_grouped,sensitivity_exploratory_predictor,644,342,53.11,302,3
hospitalization,aortic_valve_structure_clin_grouped,sensitivity_exploratory_predictor,644,195,30.28,449,5
hospitalization,GFR,sensitivity_exploratory_predictor,644,1,0.16,643,615
hospitalization,ca-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,58
hospitalization,dbp-numeric result,sensitivity_exploratory_predictor,644,137,21.27,507,77
hospitalization,hba1c-numeric result,sensitivity_exploratory_predictor,644,64,9.94,580,71
hospitalization,k-numeric result,sensitivity_exploratory_predictor,644,3,0.47,641,69
hospitalization,na-numeric result,sensitivity_exploratory_predictor,644,3,0.47,641,56
hospitalization,p-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,129
hospitalization,sbp-numeric result,sensitivity_exploratory_predictor,644,164,25.47,480,115
hospitalization,ua-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,148
hospitalization,urea-numeric result,sensitivity_exploratory_predictor,644,4,0.62,640,267
hospitalization,years_since_MI,sensitivity_exploratory_predictor,644,516,80.12,128,117
hospitalization,died_1year,outcome_or_denominator,644,27,4.19,617,2
hospitalization,event,outcome_or_denominator,644,0,0.0,644,2
hospitalization,time_to_event_days,outcome_or_denominator,644,0,0.0,644,511
hospitalization,hosp_total,outcome_or_denominator,644,0,0.0,644,11
hospitalization,followup_days,outcome_or_denominator,644,0,0.0,644,511
hospitalization,followup_years,outcome_or_denominator,644,0,0.0,644,511
hospitalization,log_followup_years,outcome_or_denominator,644,0,0.0,644,511
