outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,m/f,main_candidate,m/f__level__f,f vs m,categorical,categorical_dummy_vs_reference,m,644,1177,IRR,1.1001318756224765,0.8833311845668056,1.3701431183527912,0.3941176529390359,0.09543005954798532,-0.12405508123881796,0.3149152003347886,1.0,0.5386274590166824,0.09543005954798532
hospitalization_negative_binomial,hb-numeric result,main_candidate,hb-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,578,1095,IRR,0.9588853494231295,0.8625431260028033,1.0659885698692926,0.43708657667026396,-0.04198376346343515,-0.1478701301639683,0.06390260323709801,1.0,0.5780822465638975,0.04198376346343515
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Normal,Normal vs Severely increased,categorical,categorical_dummy_vs_reference,Severely increased,644,1177,IRR,0.9022554707121746,0.6654380925041609,1.223351869392655,0.5078662954119096,-0.10285757206706506,-0.4073096695097961,0.201594525375666,1.0,0.6507036909965093,0.10285757206706506
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Moderate-to-Severe,Moderate-to-Severe vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),644,1177,IRR,1.0958056087004096,0.8240339746341862,1.4572092523155278,0.5292783918746505,0.091489808470468,-0.19354351857048657,0.3765231355114226,1.0,0.657588305056384,0.091489808470468
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_91_180d,before_91_180d vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,644,1177,IRR,0.9151903947514304,0.6620499499842074,1.2651212475210647,0.5916466367267545,-0.0886231536570567,-0.41241427274322484,0.23516796542911145,1.0,0.7134562384057923,0.0886231536570567
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Mildly_increased,Mildly increased vs Severely increased,categorical,categorical_dummy_vs_reference,Severely increased,644,1177,IRR,0.9395207158090172,0.7150901706044712,1.2343886291824369,0.6541888090601464,-0.062385410548382286,-0.3353466315061455,0.21057581040938098,1.0,0.7519602543930557,0.062385410548382286
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_31_90d,before_31_90d vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,644,1177,IRR,0.931477884567351,0.6735634233049332,1.2881504835592408,0.6678196102004847,-0.07098283096430767,-0.39517311784761544,0.25320745591900007,1.0,0.7519602543930557,0.07098283096430767
hospitalization_negative_binomial,albumin-numeric result,main_candidate,albumin-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,643,1177,IRR,0.9785072816962302,0.8829435355896599,1.084414191552023,0.6785982783547089,-0.021727050481073745,-0.12449402652739183,0.08103992556524434,1.0,0.7519602543930557,0.021727050481073745
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_gt_365d,before_gt_365d vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,644,1177,IRR,0.8568495834187481,0.11799828722018163,6.222049708525862,0.8786115264707618,-0.15449289105296832,-2.1370851697050237,1.828099387599087,1.0,0.9341237954936555,0.15449289105296832
hospitalization_negative_binomial,LACavitySize,main_candidate,LACavitySize__level__Normal,Normal vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,644,1177,IRR,0.984522817981232,0.7060327993844507,1.3728614024316856,0.9267402321624176,-0.015598203943274422,-0.3480935845164069,0.316897176629858,1.0,0.9341237954936555,0.015598203943274422
