n,events,OR_per_SD,CIlo,CIhi,p,p_LR,AUC_base,AUC_full,dAUC,cohort,var,outcome,total_hosp,IRR_per_SD,HR_per_SD,C_base,C_full,dC
135,104.0,,0.5387917496312576,0.8706850266121202,0.0019952571054335823,0.0022327055568054366,,,,30d,LV_EF,full_FU_Cox,,,0.6849218268284947,0.6872947050321903,0.700302194192616,0.013007489160425711
100,76.0,,0.7566415345004146,1.2792575512929536,0.9032017917940177,0.9031905049408244,,,,30d,EeRatio_avg,full_FU_Cox,,,0.9838391111515862,0.706756109247724,0.706756109247724,0.0
100,76.0,,0.6939394436267128,1.1491676426891122,0.3791553039976139,0.3765496616818005,,,,30d,TissueDopplerEERatioSeptal,full_FU_Cox,,,0.893002102238009,0.706756109247724,0.706756109247724,0.0
99,75.0,,0.8909972346904943,1.6134328528618809,0.23090186276611513,0.23303474387359946,,,,30d,TissueDopplerEERatioLateral,full_FU_Cox,,,1.1989846580581134,0.7053921568627451,0.7149509803921569,0.00955882352941173
120,92.0,,0.8448875093286778,1.3360056783692698,0.6043834966979422,0.6030680507579047,,,,30d,MitralInflowPeakEWave,full_FU_Cox,,,1.0624380029189389,0.6874066699850672,0.6877385100381616,0.0003318400530943899
65,58.0,,0.8866981757720588,1.9095488934700389,0.17846703198486236,0.17303166823180172,,,,30d,RVSystolicFunction_ord,full_FU_Cox,,,1.3012276973640842,0.7551020408163265,0.7587650444793302,0.003663003663003761
124,96.0,,0.5887089185018579,2.5391627516736657,0.5898427188210889,0.5890285886458064,,,,30d,LeftVentricleSystolicFunction_ord,full_FU_Cox,,,1.2226314888133731,0.7121094357220581,0.7139748173480491,0.001865381625991036
574,229.0,1.3805468955952063,1.1209330079818118,1.7002887035765537,0.002412929776242006,0.0022456954059284495,0.7537624200999936,0.7626099613948484,0.008847541294854766,all_incl_post,TricuspidRegurgitation_ord,1y_mortality,,,,,,
439,163.0,0.727730320497272,0.5421190812646625,0.9768913098126422,0.03437956385286108,0.030278008839576986,0.7816084289143772,0.7903440917578021,0.008735662843424863,all_incl_post,TissueDopplerSVelocitySeptal,1y_mortality,,,,,,
614,238.0,0.5982023556473753,0.48607846327872634,0.7361899062309892,1.2220943307556397e-06,6.741001066234986e-07,0.7408926336492043,0.7666391024494905,0.025746468800286193,all_incl_post,LV_EF,1y_mortality,,,,,,
505,188.0,1.0564466881329997,0.848869568081298,1.3147833858502682,0.6227405365041574,0.6228446905964548,0.7822504866098395,0.7820826901134306,-0.00016779649640896732,all_incl_post,EeRatio_avg,1y_mortality,,,,,,
502,188.0,1.1112282065588017,0.8897120023183922,1.3878964472033677,0.3524907188695885,0.3518137706282156,0.7819995934408456,0.7823383927361431,0.0003387992952975649,all_incl_post,TissueDopplerEERatioSeptal,1y_mortality,,,,,,
502,186.0,0.9463802475530607,0.7633125435576352,1.1733536681897407,0.6153505932186926,0.6142938349693208,0.7836021505376344,0.7842997141690488,0.0006975636314143774,all_incl_post,TissueDopplerEERatioLateral,1y_mortality,,,,,,
559,214.0,1.1168961361121084,0.9159835704224322,1.361877023937074,0.2745539223721758,0.2743659993877007,0.7714750101584722,0.7721657862657457,0.0006907761072735275,all_incl_post,MitralInflowPeakEWave,1y_mortality,,,,,,
296,147.0,1.0487068038435294,0.7893834932118324,1.3932213808435714,0.7428062403031304,0.7427698773740454,0.7857827694836325,0.786056704561019,0.00027393507738648903,all_incl_post,RVSystolicFunction_ord,1y_mortality,,,,,,
549,223.0,1.2925886731634717,0.7371010148045357,2.2666981111585676,0.3704849058578602,0.3714520178267655,0.7767613964620761,0.7790585710748577,0.0022971746127815607,all_incl_post,LeftVentricleSystolicFunction_ord,1y_mortality,,,,,,
600,,,1.0574610480478928,1.3764980736985033,0.0052614041138511446,8.307919541206132e-08,,,,all_incl_post,TricuspidRegurgitation_ord,hosp_rate,1080.0,1.206479629189455,,,,
441,,,0.7716229012758419,1.0375337908147042,0.14097236281241957,0.007109542183443729,,,,all_incl_post,TissueDopplerSVelocitySeptal,hosp_rate,882.0,0.8947540633269929,,,,
641,,,0.7890192088909399,1.018169200707285,0.09234848962831867,0.0010177234585433403,,,,all_incl_post,LV_EF,hosp_rate,1165.0,0.8963007627237537,,,,
526,,,1.1799116867116792,1.537307919316301,1.0292331749140973e-05,0.0,,,,all_incl_post,EeRatio_avg,hosp_rate,976.0,1.346806437494163,,,,
523,,,1.1777238145369981,1.576672497528375,3.2106388566063535e-05,1.1102230246251565e-16,,,,all_incl_post,TissueDopplerEERatioSeptal,hosp_rate,969.0,1.3626755843063652,,,,
523,,,1.1249289892427894,1.4255246856933144,9.286897539321295e-05,2.4465984793664575e-12,,,,all_incl_post,TissueDopplerEERatioLateral,hosp_rate,974.0,1.2663388345216398,,,,
582,,,1.0834190635888088,1.4114538829226035,0.001647361521675508,1.8872570173300574e-11,,,,all_incl_post,MitralInflowPeakEWave,hosp_rate,1100.0,1.2366066650858694,,,,
304,,,1.0066016205468276,1.6343647808858393,0.04409560998943885,4.116140838839044e-06,,,,all_incl_post,RVSystolicFunction_ord,hosp_rate,532.0,1.2826356602731528,,,,
570,,,0.4787233759546352,0.9685738420483699,0.032550944192030654,0.0001321150530309012,,,,all_incl_post,LeftVentricleSystolicFunction_ord,hosp_rate,1017.0,0.6809397473541601,,,,
