outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_note,relative_change_pct,ci_overlap,robustness_status
survival,C_full,cox,AgeAtFirstHFDate,HR,1.0381265353752949,1.0271490692106486,1.0492213211841954,5.248341325911119e-12,408,335.0,consultation_only_not_final_stage5,1.0395334627398034,1.0303670015198867,1.0487814716132962,40,consultation_grade_approximation_confirm_with_biostatistician,3.619515157023807,True,robust_by_DEC077
survival,C_full,cox,albumin-numeric result,HR,0.6032240621254453,0.4846393571479567,0.7508248427624782,6.007329633009631e-06,408,335.0,consultation_only_not_final_stage5,0.7520999215510417,0.6352023611015924,0.89051037375885,40,consultation_grade_approximation_confirm_with_biostatistician,43.63898523214518,True,not_robust_review
survival,C_full,cox,creatinine-numeric result,HR,0.9188149425079297,0.8630357026550954,0.9781992749299223,0.008054795412478468,408,335.0,consultation_only_not_final_stage5,0.9245952952696045,0.8809137975292003,0.9704428088565044,40,consultation_grade_approximation_confirm_with_biostatistician,7.40681352277504,True,robust_by_DEC077
survival,C_full,cox,AFIB_binary,HR,1.3414709572141412,1.070644510451818,1.6808047035982154,0.010672391971942106,408,335.0,consultation_only_not_final_stage5,1.2125280275956642,1.0098480990792558,1.4558865031736266,40,consultation_grade_approximation_confirm_with_biostatistician,34.40119928406119,True,not_robust_review
survival,C_full,cox,LV_EF,HR,0.9808389384331969,0.973532431059372,0.9882002822442072,3.94913950797859e-07,408,335.0,consultation_only_not_final_stage5,0.9843782122028222,0.9783756062948797,0.9904176457641263,40,consultation_grade_approximation_confirm_with_biostatistician,18.61744730655275,True,robust_by_DEC077
survival,C_full,cox,TissueDopplerEERatioSeptal,HR,1.0162756330351914,1.0037996932649647,1.028906632698537,0.0104150607517183,408,335.0,consultation_only_not_final_stage5,1.0158424933614376,1.0046560370895645,1.0271535064958615,40,consultation_grade_approximation_confirm_with_biostatistician,2.640472210962694,True,robust_by_DEC077
survival,C_full,cox,EstimatedSysPAPressure,HR,1.003000028809193,0.9945712223484823,1.0115002678397946,0.4866122082798674,408,335.0,consultation_only_not_final_stage5,1.002989271071146,0.9955267288620461,1.010507753050227,40,consultation_grade_approximation_confirm_with_biostatistician,0.358053199056601,True,robust_by_DEC077
survival,C_full,cox,m/f_m,HR,0.9448334902217024,0.7389154307278532,1.208135988397452,0.6509518597544774,408,335.0,consultation_only_not_final_stage5,0.9691883094697931,0.7949536470975354,1.1816110066825904,40,consultation_grade_approximation_confirm_with_biostatistician,44.8489074380971,True,not_robust_review
survival,C_full,cox,tricuspid_regurgitation_clin_grouped_None_Trace_Mild,HR,0.957530635428964,0.7650626009921052,1.1984181642077896,0.7046546379652235,408,335.0,consultation_only_not_final_stage5,0.9223341254088223,0.764181261913964,1.1132178728944468,40,consultation_grade_approximation_confirm_with_biostatistician,86.29555003612464,True,not_robust_review
survival,C_full,cox,LACavitySize_Moderate_or_Severe,HR,1.1416974383986505,0.8970431571411498,1.4530772911753436,0.28149968045973817,408,335.0,consultation_only_not_final_stage5,1.1052733074153367,0.9027784527954854,1.3531881274990776,40,consultation_grade_approximation_confirm_with_biostatistician,24.467582275615964,True,not_robust_review
survival,C_full,cox,LACavitySize_Normal,HR,1.257431573370392,0.8333637478870562,1.897291747712341,0.2750786446615736,408,335.0,consultation_only_not_final_stage5,1.0053242492575432,0.7184272527224516,1.4067907951923075,40,consultation_grade_approximation_confirm_with_biostatistician,97.6818886891329,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('m/f'))[T.m],IRR,1.248678468606255,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,1.1136876490357885,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],IRR,0.9824199115238941,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.8099038119730664,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,1.261596027584795,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('AgeAtFirstHFDate'),IRR,1.0214903771865036,,,,408,766.0,consultation_only_not_final_stage5,,,,40,consultation_grade_approximation_confirm_with_biostatistician,,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('albumin-numeric result'),IRR,0.9309168156873452,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('creatinine-numeric result'),IRR,0.94613093134227,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('LV_EF'),IRR,0.9970166134582471,,,,408,766.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,1.0353012229644587,,,,408,766.0,consultation_only_not_final_stage5,,,,40,consultation_grade_approximation_confirm_with_biostatistician,,True,not_robust_review
hospitalization,C_full,negative_binomial,Q('EstimatedSysPAPressure'),IRR,1.002718628547399,,,,408,766.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
