outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note
hospitalization,C_minimal,ZINB_count_part,C(Q('m/f'))[T.m],IRR,0.9455822540706244,0.6800572538815857,1.3147801808007356,0.7393498590191894,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_minimal,ZINB_count_part,C(Q('AFIB_binary'))[T.1],IRR,1.0404137221096428,0.7728646118373294,1.4005825814442576,0.7939246111352287,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_minimal,ZINB_count_part,Q('AgeAtFirstHFDate'),IRR,1.0314494295313734,1.0181315108041777,1.0449415565581277,3.0114853412020703e-06,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_minimal,ZINB_count_part,Q('albumin-numeric result'),IRR,0.8564002413560463,0.6453296073851816,1.136506623904105,0.28295371961982707,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_minimal,ZINB_count_part,Q('creatinine-numeric result'),IRR,0.961326379152323,0.8967261288616575,1.030580438675596,0.2664450566058336,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_minimal,ZINB_count_part,Q('LV_EF'),IRR,0.989167655553293,0.9785576602187294,0.999892689587747,0.04775922595984293,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_minimal,ZINB_count_part,Q('TissueDopplerEERatioSeptal'),IRR,1.0269010823611682,1.0113278805979489,1.042714092220071,0.0006622436397468798,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
one_year_mortality,C_lite,logistic,C(Q('m/f'))[T.m],OR,0.806886056950231,0.4893325875763615,1.33051655546871,0.4004096357176419,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,C(Q('AFIB_binary'))[T.1],OR,1.526652827026287,0.9665475381233017,2.4113339099623596,0.06966144040859996,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.3566577070255283,0.8307794791381878,2.2154135727341684,0.2228199141549848,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Normal],OR,1.3189331025496611,0.5931686319610426,2.9326981152899627,0.4971500067885638,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,Q('AgeAtFirstHFDate'),OR,1.04087648455329,1.0189790943535806,1.0632444395567482,0.00022147788131801695,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,Q('albumin-numeric result'),OR,0.38880555108199005,0.2495418618188677,0.6057891667967836,2.9754377848843332e-05,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,Q('creatinine-numeric result'),OR,0.8351736030728193,0.7348265473670157,0.9492239355925922,0.005817209804781301,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,Q('LV_EF'),OR,0.9709322182989171,0.9559053285569891,0.9861953316589904,0.0002099242336408659,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0056953098410393,0.9816816885469896,1.0302963455835623,0.6450953783141471,398,164.0,consultation_only_not_final_stage5
one_year_mortality,C_lite,logistic,Q('EstimatedSysPAPressure'),OR,0.9950143635569251,0.9785407694046039,1.0117652883149608,0.5573450579057253,398,164.0,consultation_only_not_final_stage5
survival,C_lite,cox,AgeAtFirstHFDate,HR,1.0375821111548362,1.0267005778128162,1.0485789729289543,6.951577398280668e-12,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,albumin-numeric result,HR,0.606798633442712,0.4889368699058228,0.7530718262643293,5.795678612355344e-06,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,creatinine-numeric result,HR,0.912202428419114,0.8582441579539629,0.9695530842848616,0.003138085545018115,415,340.0,consultation_only_not_final_stage5
