variable,predictor_role,variable_type,outcome_family,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,n_model,missing_handling,audit_status
TissueDopplerEVelositySeptal,main_candidate,continuous,survival_cox,644,530,114,0.1770186335403726,530,variable_level_complete_case_for_predictor,OK
albumin-numeric result,main_candidate,continuous,survival_cox,644,643,1,0.0015527950310559,643,variable_level_complete_case_for_predictor,OK
creatinine-numeric result,main_candidate,continuous,survival_cox,644,643,1,0.0015527950310559,643,variable_level_complete_case_for_predictor,OK
crp-numeric result,main_candidate,continuous,survival_cox,644,619,25,0.0388198757763975,619,variable_level_complete_case_for_predictor,OK
days_echo_to_dialysis,main_candidate,continuous,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
echo_to_dialysis_timing_category,timing_sensitivity_only,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
hb-numeric result,main_candidate,continuous,survival_cox,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
m/f,main_candidate,categorical,survival_cox,644,643,1,0.0015527950310559,643,variable_level_complete_case_for_predictor,OK
mitral_regurgitation_clin_grouped,main_candidate,categorical,survival_cox,644,596,48,0.0745341614906832,596,variable_level_complete_case_for_predictor,OK
tricuspid_regurgitation_clin_grouped,main_candidate,categorical,survival_cox,644,599,45,0.0698757763975155,599,variable_level_complete_case_for_predictor,OK
