outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value,sample_label,section,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),IRR,cohort_label
survival,cox_time_varying_albumin,C_lite_supportive_matched,TissueDopplerEERatioSeptal,,,,,,,,cox_time_varying_albumin,0.014337358144762304,1.0144406310272314,0.006046069838805091,0.0024872790126904357,0.026187437276834175,1.0024903748573448,1.026533341056135,0.0,2.3713517255030343,0.01772315627259036,5.8182206370485225,,
survival,cox_time_varying_albumin,C_lite_supportive_matched,EstimatedSysPAPressure,,,,,,,,cox_time_varying_albumin,0.0031082944307005314,1.0031131301868543,0.004245980529525783,-0.005213674486228311,0.011430263347629374,0.9947998931253181,1.0114958384163297,0.0,0.7320557428575124,0.46413454515593755,1.107385014766876,,
survival,cox_time_varying_albumin,C_lite_supportive_matched,LACavitySize_Moderately dilated,,,,,,,,cox_time_varying_albumin,0.1469778847053873,1.1583283459739626,0.1326032834595241,-0.11291977510703577,0.4068755445178104,0.8932223159063749,1.5021171473143218,0.0,1.1084030566275602,0.2676877854289901,1.90137678445951,,
survival,cox_time_varying_albumin,C_lite_supportive_matched,LACavitySize_Normal,,,,,,,,cox_time_varying_albumin,0.2648824427810614,1.3032777570639373,0.20576833394025446,-0.13841608090064816,0.6681809664627709,0.8707363196108734,1.950685728621807,0.0,1.2872847717082208,0.19799504937324205,2.336463736976234,,
survival,cox_time_varying_albumin,C_lite_supportive_matched,LACavitySize_Severely dilated,,,,,,,,cox_time_varying_albumin,0.08846064779697424,1.092491259826694,0.2236139422139798,-0.349814625383447,0.5267359209773954,0.7048187331117449,1.6933958998625094,0.0,0.39559540394097975,0.6924035282171632,0.5303150187552604,,
survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory,LV_EF,,,,,,,,cox_time_varying_albumin,-0.019183318319926628,0.9809995105761293,0.00393656595592527,-0.026898845816306645,-0.01146779082354661,0.9734597060661281,0.9885977136533179,0.0,-4.873109846172433,1.0985510033358223e-06,19.795966716812416,,
survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory,TissueDopplerEERatioSeptal,,,,,,,,cox_time_varying_albumin,0.01594648493083999,1.0160743086642203,0.006229813363071802,0.0037362751088129056,0.02815669475286707,1.0037432636856953,1.0285568412549304,0.0,2.5597050828786116,0.010476102358376411,6.576754128829953,,
survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory,EstimatedSysPAPressure,,,,,,,,cox_time_varying_albumin,0.0030473433428816585,1.0030519912136264,0.004282767487585433,-0.0053467266869448825,0.011441413372708199,0.9946675416152903,1.0115071166831715,0.0,0.7115360223769024,0.4767521366912414,1.068688690514092,,
survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory,LACavitySize_Moderately dilated,,,,,,,,cox_time_varying_albumin,0.14994546682794052,1.1617708859491587,0.13312794974541914,-0.11098052000873926,0.4108714536646203,0.8949561824978415,1.5081314793222833,0.0,1.1263259677226425,0.2600275701272329,1.9432634978754793,,
survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory,LACavitySize_Normal,,,,,,,,cox_time_varying_albumin,0.26765979030790377,1.3069024434962906,0.2091280909838879,-0.1422237361761321,0.6775433167919396,0.8674271599376763,1.9690344915408142,0.0,1.2798844433028627,0.20058577961106386,2.3177087641705842,,
survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory,LACavitySize_Severely dilated,,,,,,,,cox_time_varying_albumin,0.09556688430106998,1.1002824111929803,0.22347962656798623,-0.34244513505064367,0.5335789036527836,0.7100320741907065,1.7050235170861867,0.0,0.4276313047802455,0.668919570708014,0.5800953397998383,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,LV_EF,,,,,,,,cox_time_varying_albumin,-0.016936658300397537,0.9832059605991598,0.0039622610422452575,-0.02470254724054438,-0.009170769360250694,0.9756000638040737,0.9908711538910416,0.0,-4.274493305670794,1.9157246078257238e-05,15.67175029096183,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,TissueDopplerEERatioSeptal,,,,,,,,cox_time_varying_albumin,0.01713733133411226,1.017285017841408,0.006340276779570326,0.004710617194138822,0.0295640454740857,1.0047217295932147,1.0300054005436756,0.0,2.7029311069403565,0.0068730990396826536,7.184823536264508,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,EstimatedSysPAPressure,,,,,,,,cox_time_varying_albumin,-0.002870109673600948,0.9971340051535585,0.004765998690021777,-0.012211295456408708,0.006471076109206811,0.9878629598534546,1.0064920587579007,0.0,-0.6022053005616402,0.5470374878065527,0.8702883923641774,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,LACavitySize_Moderately dilated,,,,,,,,cox_time_varying_albumin,0.1511947717276689,1.163223199011356,0.1331097365163904,-0.10969551783607237,0.4120850612914102,0.8961069423428959,1.509962870258015,0.0,1.1358656074647973,0.2560128140679332,1.965712072437093,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,LACavitySize_Normal,,,,,,,,cox_time_varying_albumin,0.3571972474621597,1.4293177713538046,0.2135637669673883,-0.06138004419662624,0.7757745391209456,0.940465753298315,2.1722739869505747,0.0,1.6725554738726096,0.09441483857568185,3.404842573225543,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,LACavitySize_Severely dilated,,,,,,,,cox_time_varying_albumin,-0.009799459868120542,0.9902483983828188,0.22752689755012925,-0.4557439845805085,0.43614506484426746,0.6339761239870197,1.5467331550798507,0.0,-0.04306945672637013,0.9656461666988156,0.050433443157249486,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,tricuspid_regurgitation_clin_grouped_Mild-to-mod,,,,,,,,cox_time_varying_albumin,0.17981782482383085,1.1969992797030664,0.1752067613844332,-0.1635811173375613,0.523216766985223,0.8490976196697303,1.6874470525155545,0.0,1.0263178395797192,0.304741791060912,1.7143407359129867,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,,,,,,,,cox_time_varying_albumin,0.37768819581204505,1.4589079783320729,0.15697606396646788,0.07002076400291224,0.6853556276211779,1.0725304510484197,1.9844774450556724,0.0,2.406024117745264,0.016127199996517773,5.954360210164697,,
survival,cox_time_varying_albumin,C_full_exploratory_matched,tricuspid_regurgitation_clin_grouped_Trivial,,,,,,,,cox_time_varying_albumin,-0.22022187603446577,0.8023407580261303,0.16577697380014242,-0.5451387741487851,0.10469502207985351,0.5797613218730483,1.1103719197930713,0.0,-1.3284225847913058,0.18403854251377003,2.44192015865677,,
hospitalization,negative_binomial,C_minimal_primary_reference,LV_EF,-0.010891473418000886,0.005502104755725359,,0.978557628895502,0.9998926576648216,0.04775857331891675,,hospitalization,,,,,,,,,,,,0.9891676239316114,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.026545590489410218,0.007796635445391098,,1.0113278648242574,1.0427140694013473,0.000662247770089941,,hospitalization,,,,,,,,,,,,1.0269010631165385,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,LV_EF,-0.0031178966444381367,0.004563950963509343,,0.9880092286560376,1.0058444598453558,0.49450741976476653,,hospitalization,,,,,,,,,,,,0.9968869589475823,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.030737969401935912,0.007614334528253366,,1.01593957476032,1.0467206277280432,5.4172376095174e-05,,hospitalization,,,,,,,,,,,,1.0312152585308672,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,LV_EF,-0.010891441450030698,0.005502102790487025,,0.9785576639472777,0.999892685777907,0.04775914729389519,,hospitalization,,,,,,,,,,,,0.989167655553293,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.02654560922990053,0.0077966360795563286,,1.0113278825199936,1.0427140902383762,0.0006622426129354597,,hospitalization,,,,,,,,,,,,1.0269010823611682,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LV_EF,-0.00428562384889696,,,,,,,hospitalization,,,,,,,,,,,,0.9957235463323306,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,TissueDopplerEERatioSeptal,0.03339837001393186,,,,,,,hospitalization,,,,,,,,,,,,1.0339623568064606,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,EstimatedSysPAPressure,0.003001982874249013,,,,,,,hospitalization,,,,,,,,,,,,1.0030064933371525,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Moderately dilated,-0.17588357598733978,,,,,,,hospitalization,,,,,,,,,,,,0.8387156242915487,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Normal,0.22904006275093816,,,,,,,hospitalization,,,,,,,,,,,,1.2573924125998377,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Severely dilated,-0.3924649093043948,,,,,,,hospitalization,,,,,,,,,,,,0.6753900458432798,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,LV_EF,-0.004285623848897579,0.005433151207883392,,0.9851763678175574,1.006383641659012,0.43023383979607965,,hospitalization,,,,,,,,,,,,0.99572354633233,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,TissueDopplerEERatioSeptal,0.03339837001393128,0.008666804478007996,,1.0165468405359368,1.0516762363150305,0.00011639521438167044,,hospitalization,,,,,,,,,,,,1.03396235680646,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,EstimatedSysPAPressure,0.003001982874248787,0.005676992659456746,,0.9919079952341409,1.0142291729779014,0.5969455229911607,,hospitalization,,,,,,,,,,,,1.0030064933371523,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,LACavitySize_Moderately dilated,-0.17588357598733187,0.19163552318539043,,0.576091255336797,1.22106331577542,0.3587222357066888,,hospitalization,,,,,,,,,,,,0.8387156242915553,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,LACavitySize_Normal,0.22904006275093497,0.2440794524340163,,0.7793027541390378,2.028782358161091,0.3480475056340291,,hospitalization,,,,,,,,,,,,1.2573924125998337,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,LACavitySize_Severely dilated,-0.3924649093043788,0.25939149249529353,,0.40621519023079117,1.1229312073855229,0.13027419354430458,,hospitalization,,,,,,,,,,,,0.6753900458432907,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LV_EF,-0.011695657461633998,,,,,,,hospitalization,,,,,,,,,,,,0.9883724708795184,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,TissueDopplerEERatioSeptal,0.02781129320450678,,,,,,,hospitalization,,,,,,,,,,,,1.0282016374768832,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,EstimatedSysPAPressure,0.0045143413734966865,,,,,,,hospitalization,,,,,,,,,,,,1.004524546363005,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Moderately dilated,-0.21727667217661814,,,,,,,hospitalization,,,,,,,,,,,,0.8047072983832134,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Normal,0.3948380522197158,,,,,,,hospitalization,,,,,,,,,,,,1.4841438176605888,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Severely dilated,-0.6235318028760773,,,,,,,hospitalization,,,,,,,,,,,,0.5360478749968448,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LV_EF,-0.002060415556926697,,,,,,,hospitalization,,,,,,,,,,,,0.9979417056421063,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,TissueDopplerEERatioSeptal,0.03541592101224382,,,,,,,hospitalization,,,,,,,,,,,,1.0360505343857032,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,EstimatedSysPAPressure,-0.0019151206142150924,,,,,,,hospitalization,,,,,,,,,,,,0.9980867120591516,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Moderately dilated,-0.16218327087972906,,,,,,,hospitalization,,,,,,,,,,,,0.8502853577140478,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Normal,0.29474311084129884,,,,,,,hospitalization,,,,,,,,,,,,1.3427813683999938,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Severely dilated,-0.44611407418144033,,,,,,,hospitalization,,,,,,,,,,,,0.6401107477870491,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,0.04672226824237543,,,,,,,hospitalization,,,,,,,,,,,,1.0478309527315355,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.2819504859022632,,,,,,,hospitalization,,,,,,,,,,,,1.3257130768748164,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.16270583541179903,,,,,,,hospitalization,,,,,,,,,,,,0.8498411448190284,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,LV_EF,-0.0020604155569273804,0.005465963270984733,,0.9873075339143027,1.0086904167656408,0.7062079481392292,,hospitalization,,,,,,,,,,,,0.9979417056421056,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,TissueDopplerEERatioSeptal,0.03541592101224324,0.009118729246369297,,1.0176979976503633,1.0547340294263539,0.00010280865049727694,,hospitalization,,,,,,,,,,,,1.0360505343857025,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,EstimatedSysPAPressure,-0.0019151206142153064,0.006197893341669859,,0.9860354303927479,1.0102852839600904,0.7573250159309677,,hospitalization,,,,,,,,,,,,0.9980867120591513,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,LACavitySize_Moderately dilated,-0.16218327087972026,0.18923342345364508,,0.5867943971808051,1.232092864240744,0.3914150173205784,,hospitalization,,,,,,,,,,,,0.8502853577140552,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,LACavitySize_Normal,0.294743110841294,0.24302140743477746,,0.8339524874497962,2.1620677801871615,0.2251956770379553,,hospitalization,,,,,,,,,,,,1.3427813683999874,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,LACavitySize_Severely dilated,-0.4461140741814332,0.28619377033550114,,0.3652936004171874,1.121677929655902,0.11904767446549491,,hospitalization,,,,,,,,,,,,0.6401107477870538,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,0.04672226824237216,0.22257403781820156,,0.6773800120615024,1.6208770349760218,0.8337317736446288,,hospitalization,,,,,,,,,,,,1.047830952731532,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.28195048590225946,0.20693688932080456,,0.883692774272382,1.9888305227390688,0.1730417074857642,,hospitalization,,,,,,,,,,,,1.3257130768748113,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.16270583541180625,0.19636730487744802,,0.5783443925012313,1.2487887507714857,0.4073426453753317,,hospitalization,,,,,,,,,,,,0.8498411448190222,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,LV_EF,-9.958416659471931,,,,,,,hospitalization,,,,,,,,,,,,4.732761247821653e-05,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,TissueDopplerEERatioSeptal,-1.980965321192451,,,,,,,hospitalization,,,,,,,,,,,,0.13793602045896103,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,EstimatedSysPAPressure,4.412953558896619,,,,,,,hospitalization,,,,,,,,,,,,82.51281040285005,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,LACavitySize_Moderately dilated,-270.78019239467704,,,,,,,hospitalization,,,,,,,,,,,,2.521486424496646e-118,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,LACavitySize_Normal,1245.919623069742,,,,,,,hospitalization,,,,,,,,,,,,inf,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,LACavitySize_Severely dilated,-225.99097685546354,,,,,,,hospitalization,,,,,,,,,,,,7.134536953655723e-99,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,1389.1575697111593,,,,,,,hospitalization,,,,,,,,,,,,inf,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,-806.1676968808774,,,,,,,hospitalization,,,,,,,,,,,,0.0,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-410.53502934677726,,,,,,,hospitalization,,,,,,,,,,,,5.092161003752578e-179,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,LV_EF,-0.005778382629000756,0.005796761421640393,,0.983006019733054,1.0055988852563273,0.3188472899759085,,hospitalization,,,,,,,,,,,,0.9942382801138862,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.030707473418747546,0.008293981066441847,,1.0145561949596504,1.0480839381110831,0.00021358600573417874,,hospitalization,,,,,,,,,,,,1.0311838110871923,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,LV_EF,-0.0016381159343007029,0.0047578672504441895,,0.9890963447789709,1.0077169270558237,0.7306234912125145,,hospitalization,,,,,,,,,,,,0.9983632250452797,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.032034122791946916,0.008200500581458067,,1.0160892010914708,1.0492830316444455,9.369616321786012e-05,,hospitalization,,,,,,,,,,,,1.0325527382862538,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,LV_EF,-0.005778419374718213,0.005796762744618532,,0.9830059810628222,1.0055988509124307,0.31884432299809706,,hospitalization,,,,,,,,,,,,0.994238243579888,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.03070746856523444,0.00829398471331459,,1.0145561827835725,1.0480839405157623,0.00021358786943270758,,hospitalization,,,,,,,,,,,,1.0311838060823282,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,LV_EF,-0.007453190605546578,0.006608552715451001,,0.9798008385620243,1.005514723127633,0.25940024800844896,,hospitalization,,,,,,,,,,,,0.9925745155437533,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,TissueDopplerEERatioSeptal,0.03313393054178137,0.010020622979163209,,1.0135849577583453,1.0541917415792144,0.0009444443016690673,,hospitalization,,,,,,,,,,,,1.0336889724949978,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,EstimatedSysPAPressure,0.0009108254536897475,0.006436322205333268,,0.9883638635694508,1.013617907380073,0.8874644221625334,,hospitalization,,,,,,,,,,,,1.0009112403811593,observed_ge_6m_sensitivity
