outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value,cohort_label
hospitalization,negative_binomial,C_minimal_primary_reference,const,-1.041738281966158,0.7147200596936668,0.35284081175360443,0.08693543181040263,1.4320586652224503,0.14496536907339652,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,AgeAtFirstHFDate,0.020155502699005474,0.006971871331410809,1.0203599964240884,1.0065117447074006,1.0343987815117148,0.003840491998563955,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,albumin-numeric result,-0.1552886587438475,0.15012741949140312,0.8561680014307499,0.6379225481140732,1.1490793809389623,0.30095899075451604,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,creatinine-numeric result,-0.03943080069666398,0.03743584297511375,0.9613364755033268,0.8933247941950739,1.034526104210368,0.2922080804755216,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,AFIB_binary,-0.08211023969254491,0.1538592814207329,0.9211704035566782,0.681353218370544,1.2453964984829635,0.593569162504429,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,LV_EF,-0.005778382629000756,0.005796761421640393,0.9942382801138862,0.983006019733054,1.0055988852563273,0.3188472899759085,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.030707473418747546,0.008293981066441847,1.0311838110871923,1.0145561949596504,1.0480839381110831,0.00021358600573417874,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_minimal_primary_reference,m/f_m,0.11788046507258218,0.17327683337706032,1.1251096134329233,0.8011219243358488,1.5801235789279178,0.49631366478973593,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,const,-2.1333422545806497,0.6567085962951047,0.11844077236966775,0.03269637369783413,0.42904502771977765,0.0011600007093610643,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,AgeAtFirstHFDate,0.020255862943423898,0.0066891922281985304,1.02046240514152,1.0071706329217756,1.0339295907450219,0.00246057684944323,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,albumin-numeric result,-0.06765944705081928,0.12049396433771217,0.9345786929189854,0.7379880719713452,1.1835385508670841,0.5744449314557829,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,creatinine-numeric result,-0.026649495604296258,0.03653828927315422,0.9737024687154205,0.9064090882361656,1.045991826303795,0.46578266838881865,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,AFIB_binary,0.06805222198943303,0.14358724800875303,1.0704212065441445,0.8078500784839033,1.418334403791548,0.6355403018221448,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,LV_EF,-0.0016381159343007029,0.0047578672504441895,0.9983632250452797,0.9890963447789709,1.0077169270558237,0.7306234912125145,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.032034122791946916,0.008200500581458067,1.0325527382862538,1.0160892010914708,1.0492830316444455,9.369616321786012e-05,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_minimal_primary_reference,m/f_m,0.1676923127463101,0.14757402423118166,1.1825726921202087,0.8855443177384941,1.5792300217338369,0.25581983547950715,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,const,-1.0417317675469648,0.7147193945841684,0.3528431103140475,0.08693611147720465,1.4320661274197388,0.1449675089591933,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,AgeAtFirstHFDate,0.020155434471342056,0.006971876233937028,1.0203599268073122,1.0065116663639366,1.0343987208765923,0.0038406364327734366,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,albumin-numeric result,-0.15528924565881555,0.15012735924550347,0.8561674989330822,0.6379222490349984,1.1490785708418103,0.3009569698551897,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,creatinine-numeric result,-0.03943042233574077,0.03743586900730307,0.961336839235552,0.8933250866141234,1.0345265484194348,0.29221304683532834,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,AFIB_binary,-0.08210997867563768,0.15385910476113882,0.9211706439977594,0.681353632135842,1.2453963923304803,0.5935699124143408,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,LV_EF,-0.005778419374718213,0.005796762744618532,0.994238243579888,0.9830059810628222,1.0055988509124307,0.31884432299809706,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.03070746856523444,0.00829398471331459,1.0311838060823282,1.0145561827835725,1.0480839405157623,0.00021358786943270758,observed_ge_6m_sensitivity
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,m/f_m,0.11788074759446568,0.17327649927621552,1.1251099313010553,0.8011226752754786,1.5801229906230967,0.49631180222496973,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,const,-0.6491824017443198,0.8906800439708741,0.5224727750102067,0.09118040267635209,2.9938209594863276,0.4660863812365492,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,AgeAtFirstHFDate,0.016805749059975356,0.007908608150556422,1.0169477600791845,1.0013057288074123,1.0328341454330998,0.033587069325762275,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,albumin-numeric result,-0.14569137742128044,0.17751207526615032,0.8644244429222556,0.6104157204861224,1.22413232890918,0.4117940065982859,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,creatinine-numeric result,-0.07769436850208591,0.04813552675541798,0.9252471680118893,0.8419454938814411,1.0167906689154047,0.10651107749504085,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,AFIB_binary,-0.10287957080174244,0.1807164246369942,0.9022356224517822,0.6331273051420053,1.2857273913314713,0.5691611639423722,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,LV_EF,-0.007453190605546578,0.006608552715451001,0.9925745155437533,0.9798008385620243,1.005514723127633,0.25940024800844896,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,TissueDopplerEERatioSeptal,0.03313393054178137,0.010020622979163209,1.0336889724949978,1.0135849577583453,1.0541917415792144,0.0009444443016690673,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,EstimatedSysPAPressure,0.0009108254536897475,0.006436322205333268,1.0009112403811593,0.9883638635694508,1.013617907380073,0.8874644221625334,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,m/f_m,0.2664477221271659,0.20136738063300857,1.30531934823271,0.8796489743142286,1.9369756012038655,0.18577151096629585,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Moderately dilated,-0.18865561600234487,0.2123628644848432,0.8280716322146293,0.5461362291651807,1.255552353900344,0.37434474997662104,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Normal,0.3746082755789967,0.29932299815325036,1.4544215705669474,0.8089122777042571,2.6150451207563536,0.21074536118656306,observed_ge_6m_sensitivity
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Severely dilated,-0.7931332428350807,0.40097855161281826,0.4524250147494134,0.2061706192950886,0.9928106859786834,0.04792936282272886,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_lite_supportive,const,-2.050126972526712,0.9248086583707205,0.12871855882950922,0.02101010129348608,0.7885953121169708,0.026635938127672842,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_lite_supportive,AgeAtFirstHFDate,0.018112152620382977,0.0076148925337615825,1.0182771724391462,1.0031920470207598,1.0335891347922592,0.01738242749353125,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_lite_supportive,albumin-numeric result,-0.03767850596752794,0.15202811466435234,0.9630224971142526,0.714870686483713,1.2973148115918727,0.8042589272558145,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_lite_supportive,creatinine-numeric result,-0.05251469774483121,0.0452489812420672,0.9488403751395954,0.868313285904593,1.036835520208739,0.24581602388767054,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_lite_supportive,AFIB_binary,0.061427445383731856,0.15971349885340866,1.0633533425361692,0.7775471354689655,1.4542145157551987,0.7005262143429376,observed_ge_6m_sensitivity
hospitalization,poisson_robust,C_lite_supportive,LV_EF,-0.0030375308144111415,0.005749771715534985,0.9969670778148477,0.9857947765888957,1.0082659980061743,0.5973000126247356,observed_ge_6m_sensitivity
