outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value,sample_label
one_year_mortality,logistic,C_full_exploratory,AgeAtFirstHFDate,0.03912870809570784,0.011014145948642124,1.0399043191417525,1.0176957285395094,1.0625975550880866,0.00038146333000677046,own_complete_case
one_year_mortality,logistic,C_full_exploratory,albumin-numeric result,-0.9607379643650595,0.2321352629063167,0.38261042890407276,0.2427500223692345,0.6030513978016905,3.492809424177068e-05,own_complete_case
one_year_mortality,logistic,C_full_exploratory,creatinine-numeric result,-0.154929916222075,0.06751901007712885,0.8564752003980156,0.7503112369199864,0.9776606464112534,0.021755382294931014,own_complete_case
one_year_mortality,logistic,C_full_exploratory,AFIB_binary,0.38352007456382675,0.2389249438679516,1.4674410103912925,0.9187209799367467,2.343892396064011,0.10845186498713533,own_complete_case
one_year_mortality,logistic,C_full_exploratory,LV_EF,-0.02667404124211825,0.008306647965416334,0.9736785688605969,0.957954428791076,0.989660809496799,0.0013219667500572463,own_complete_case
one_year_mortality,logistic,C_full_exploratory,TissueDopplerEERatioSeptal,0.007630374270781132,0.01287015670946432,1.007659559761384,0.9825587575745734,1.0334015961395995,0.553265844333295,own_complete_case
one_year_mortality,logistic,C_full_exploratory,EstimatedSysPAPressure,-0.013462833906422797,0.009511108918403498,0.9866273847220242,0.9684052744357007,1.0051923734622887,0.15692628482505455,own_complete_case
one_year_mortality,logistic,C_full_exploratory,m/f_m,-0.20567008587743174,0.2597633035512508,0.814101615603221,0.4892869455763495,1.3545455208233341,0.4285008707804898,own_complete_case
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Moderately dilated,0.3210813834543427,0.27222833051718404,1.3786177730049864,0.8085715195202625,2.3505489844273453,0.2382165806862262,own_complete_case
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Normal,0.4386336205909063,0.41966753334714296,1.550587080126185,0.681189499671833,3.5295909496733917,0.29593372033895604,own_complete_case
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Severely dilated,0.05333502892995541,0.48042613124423056,1.0547829687385857,0.41135438380435724,2.704643866564768,0.9116035904238537,own_complete_case
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,-0.21149073196406837,0.3376492840665088,0.8093767823510657,0.4175782493189298,1.5687856752055873,0.5310774290191826,own_complete_case
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.17675339247001093,0.3214042460313606,1.193336771004062,0.6355916829539136,2.2405149205416186,0.5823597989190836,own_complete_case
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.7677439234329894,0.35600888318097185,0.46405884047232693,0.23095755395249176,0.9324250440616393,0.031042284858771474,own_complete_case
