term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier
albumin_x_log_time,0.18525695698712388,1.2035276552387129,0.06376019088029995,0.06028927921433677,0.310224634759911,1.062143758220132,1.3637314212076677,0.0,2.905527013476412,0.0036663519997996584,8.091438981602963,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
AgeAtFirstHFDate,0.03715556802117308,1.0378544652454618,0.005474650172974657,0.026425450854186773,0.04788568518815938,1.0267776990080129,1.0490507264333733,0.0,6.786838765441073,1.1461717716675436e-11,36.34438577317175,survival,cox_time_varying_albumin,C_full_exploratory_matched
albumin-numeric result,-1.503822531686972,0.22227886612670406,0.3664652642997161,-2.2220812512993677,-0.7855638120745764,0.10838330103897607,0.4558626084732877,0.0,-4.103588192896396,4.067912802084869e-05,14.58535171985989,survival,cox_time_varying_albumin,C_full_exploratory_matched
creatinine-numeric result,-0.09036988434597036,0.9135931989442814,0.03199179185525198,-0.15307264418316607,-0.02766712450877465,0.8580673859428988,0.9727121049357635,0.0,-2.824783455545478,0.004731257916166851,7.723560475697381,survival,cox_time_varying_albumin,C_full_exploratory_matched
AFIB_binary,0.2735228010844637,1.3145873328871531,0.11645193627517768,0.04528120005516201,0.5017644021137654,1.046322044361028,1.651632845834483,0.0,2.3488042348915967,0.01883380600683046,5.730531615083823,survival,cox_time_varying_albumin,C_full_exploratory_matched
LV_EF,-0.016936658300397537,0.9832059605991598,0.0039622610422452575,-0.02470254724054438,-0.009170769360250694,0.9756000638040737,0.9908711538910416,0.0,-4.274493305670794,1.9157246078257238e-05,15.67175029096183,survival,cox_time_varying_albumin,C_full_exploratory_matched
TissueDopplerEERatioSeptal,0.01713733133411226,1.017285017841408,0.006340276779570326,0.004710617194138822,0.0295640454740857,1.0047217295932147,1.0300054005436756,0.0,2.7029311069403565,0.0068730990396826536,7.184823536264508,survival,cox_time_varying_albumin,C_full_exploratory_matched
EstimatedSysPAPressure,-0.002870109673600948,0.9971340051535585,0.004765998690021777,-0.012211295456408708,0.006471076109206811,0.9878629598534546,1.0064920587579007,0.0,-0.6022053005616402,0.5470374878065527,0.8702883923641774,survival,cox_time_varying_albumin,C_full_exploratory_matched
m/f_m,-0.01752941807157163,0.982623328356475,0.12590663582007597,-0.2643018896935212,0.22924305355037797,0.7677417313522164,1.2576476775982273,0.0,-0.13922552975382207,0.8892719351396793,0.16930343906445902,survival,cox_time_varying_albumin,C_full_exploratory_matched
LACavitySize_Moderately dilated,0.1511947717276689,1.163223199011356,0.1331097365163904,-0.10969551783607237,0.4120850612914102,0.8961069423428959,1.509962870258015,0.0,1.1358656074647973,0.2560128140679332,1.965712072437093,survival,cox_time_varying_albumin,C_full_exploratory_matched
LACavitySize_Normal,0.3571972474621597,1.4293177713538046,0.2135637669673883,-0.06138004419662624,0.7757745391209456,0.940465753298315,2.1722739869505747,0.0,1.6725554738726096,0.09441483857568185,3.404842573225543,survival,cox_time_varying_albumin,C_full_exploratory_matched
LACavitySize_Severely dilated,-0.009799459868120542,0.9902483983828188,0.22752689755012925,-0.4557439845805085,0.43614506484426746,0.6339761239870197,1.5467331550798507,0.0,-0.04306945672637013,0.9656461666988156,0.050433443157249486,survival,cox_time_varying_albumin,C_full_exploratory_matched
tricuspid_regurgitation_clin_grouped_Mild-to-mod,0.17981782482383085,1.1969992797030664,0.1752067613844332,-0.1635811173375613,0.523216766985223,0.8490976196697303,1.6874470525155545,0.0,1.0263178395797192,0.304741791060912,1.7143407359129867,survival,cox_time_varying_albumin,C_full_exploratory_matched
tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.37768819581204505,1.4589079783320729,0.15697606396646788,0.07002076400291224,0.6853556276211779,1.0725304510484197,1.9844774450556724,0.0,2.406024117745264,0.016127199996517773,5.954360210164697,survival,cox_time_varying_albumin,C_full_exploratory_matched
tricuspid_regurgitation_clin_grouped_Trivial,-0.22022187603446577,0.8023407580261303,0.16577697380014242,-0.5451387741487851,0.10469502207985351,0.5797613218730483,1.1103719197930713,0.0,-1.3284225847913058,0.18403854251377003,2.44192015865677,survival,cox_time_varying_albumin,C_full_exploratory_matched
albumin_x_log_time,0.17710481181407525,1.1937562063239022,0.06390249403146216,0.05185822499012366,0.30235139863802685,1.0532264107430733,1.3530365983999866,0.0,2.7714851274330288,0.005580122137471247,7.485487584615572,survival,cox_time_varying_albumin,C_full_exploratory_matched
