outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),sample_label,IRR,committee_note
hospitalization,poisson_robust,C_minimal,creatinine-numeric result,-0.03430519768383916,0.03551461594410566,,0.9013029458907834,1.0359340148370326,0.33407125247322256,,,,,,,,,,,,,0.9662765542644012,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,AFIB_binary,0.10698512388848525,0.1361500023717038,,0.852255528737602,1.453303336616461,0.4319913285872534,,,,,,,,,,,,,1.1129176984683922,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,LV_EF,-0.0031178966444381367,0.004563950963509343,,0.9880092286560376,1.0058444598453558,0.49450741976476653,,,,,,,,,,,,,0.9968869589475823,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,TissueDopplerEERatioSeptal,0.030737969401935912,0.007614334528253366,,1.01593957476032,1.0467206277280432,5.4172376095174e-05,,,,,,,,,,,,,1.0312152585308672,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,albumin-numeric result,-0.1550174404403383,0.14437578845907906,,0.6453296639742961,1.1365065242435803,0.2829535704472512,,,,,,,,,,,,,0.8564002413560525,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,creatinine-numeric result,-0.03944130316305296,0.035491593392107224,,0.8967260896979511,1.0305804836852703,0.2664453568267957,,,,,,,,,,,,,0.9613263791523228,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,AFIB_binary,0.03961844376878626,0.15166898444136312,,0.7728635502254243,1.4005845052963384,0.7939255418906905,,,,,,,,,,,,,1.0404137221096459,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,LV_EF,-0.010891441450030698,0.005502102790487025,,0.9785576639472777,0.999892685777907,0.04775914729389519,,,,,,,,,,,,,0.989167655553293,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,TissueDopplerEERatioSeptal,0.02654560922990053,0.0077966360795563286,,1.0113278825199936,1.0427140902383762,0.0006622426129354597,,,,,,,,,,,,,1.0269010823611682,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,albumin-numeric result,-0.1552886587438475,0.15012741949140312,,0.6379225481140732,1.1490793809389623,0.30095899075451604,,,,,,,,,,,,,0.8561680014307499,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,creatinine-numeric result,-0.03943080069666398,0.03743584297511375,,0.8933247941950739,1.034526104210368,0.2922080804755216,,,,,,,,,,,,,0.9613364755033268,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,AFIB_binary,-0.08211023969254491,0.1538592814207329,,0.681353218370544,1.2453964984829635,0.593569162504429,,,,,,,,,,,,,0.9211704035566782,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,LV_EF,-0.005778382629000756,0.005796761421640393,,0.983006019733054,1.0055988852563273,0.3188472899759085,,,,,,,,,,,,,0.9942382801138862,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,TissueDopplerEERatioSeptal,0.030707473418747546,0.008293981066441847,,1.0145561949596504,1.0480839381110831,0.00021358600573417874,,,,,,,,,,,,,1.0311838110871923,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,albumin-numeric result,-0.06765944705081928,0.12049396433771217,,0.7379880719713452,1.1835385508670841,0.5744449314557829,,,,,,,,,,,,,0.9345786929189854,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,creatinine-numeric result,-0.026649495604296258,0.03653828927315422,,0.9064090882361656,1.045991826303795,0.46578266838881865,,,,,,,,,,,,,0.9737024687154205,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,AFIB_binary,0.06805222198943303,0.14358724800875303,,0.8078500784839033,1.418334403791548,0.6355403018221448,,,,,,,,,,,,,1.0704212065441445,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,LV_EF,-0.0016381159343007029,0.0047578672504441895,,0.9890963447789709,1.0077169270558237,0.7306234912125145,,,,,,,,,,,,,0.9983632250452797,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,poisson_robust,C_minimal,TissueDopplerEERatioSeptal,0.032034122791946916,0.008200500581458067,,1.0160892010914708,1.0492830316444455,9.369616321786012e-05,,,,,,,,,,,,,1.0325527382862538,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,albumin-numeric result,-0.15528924565881555,0.15012735924550347,,0.6379222490349984,1.1490785708418103,0.3009569698551897,,,,,,,,,,,,,0.8561674989330822,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,creatinine-numeric result,-0.03943042233574077,0.03743586900730307,,0.8933250866141234,1.0345265484194348,0.29221304683532834,,,,,,,,,,,,,0.961336839235552,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,AFIB_binary,-0.08210997867563768,0.15385910476113882,,0.681353632135842,1.2453963923304803,0.5935699124143408,,,,,,,,,,,,,0.9211706439977594,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,LV_EF,-0.005778419374718213,0.005796762744618532,,0.9830059810628222,1.0055988509124307,0.31884432299809706,,,,,,,,,,,,,0.994238243579888,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,zinb_intercept_inflation,C_minimal,TissueDopplerEERatioSeptal,0.03070746856523444,0.00829398471331459,,1.0145561827835725,1.0480839405157623,0.00021358786943270758,,,,,,,,,,,,,1.0311838060823282,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,albumin-numeric result,-0.1550173683330205,0.14437542225587233,,0.6453301736982017,1.1365057904572804,0.2829525733617695,,,,,,,,,,,,,0.8564003031087791,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,creatinine-numeric result,-0.03944135693362503,0.03549156955644119,,0.8967260833736409,1.0305803801238116,0.2664443837665902,,,,,,,,,,,,,0.9613263274612548,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,AFIB_binary,0.039618802073672424,0.1516683793288187,,0.7728647437792139,1.4005833460110326,0.7939229165285486,,,,,,,,,,,,,1.040414094895033,Combined review file only; manuscript should use separate OR/HR/IRR tables.
hospitalization,negative_binomial,C_minimal,LV_EF,-0.010891473418000886,0.005502104755725359,,0.978557628895502,0.9998926576648216,0.04775857331891675,,,,,,,,,,,,,0.9891676239316114,Combined review file only; manuscript should use separate OR/HR/IRR tables.
