term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier,sample_label
AgeAtFirstHFDate,0.03760378019107806,1.0383197485123972,0.005494547040597499,0.026834665880145825,0.048372894502010294,1.0271979578530193,1.0495619582463316,0.0,6.843836245869846,7.710005141831662e-12,36.91640531636892,survival,cox_regular,C_full_exploratory,own_complete_case
albumin-numeric result,-0.532585465996769,0.5870851171538717,0.11260501869109914,-0.7532872471097829,-0.3118836848837551,0.47081631655645384,0.732066673696614,0.0,-4.729677879258389,2.2487635071173334e-06,18.762436622325385,survival,cox_regular,C_full_exploratory,own_complete_case
creatinine-numeric result,-0.08457996753164398,0.9188981704201449,0.03182544692124335,-0.1469566972891721,-0.02220323777411587,0.8633313611951866,0.9780414398853153,0.0,-2.657620731641233,0.00786943981064449,6.989523344122447,survival,cox_regular,C_full_exploratory,own_complete_case
AFIB_binary,0.2712115548491396,1.3115525063297087,0.11638641106280978,0.04309838087615833,0.49932472882212087,1.04404060342756,1.6476083125622358,0.0,2.330268219223428,0.01979197936444806,5.658940288532524,survival,cox_regular,C_full_exploratory,own_complete_case
LV_EF,-0.017218976699969756,0.9829284226447924,0.003967928501273509,-0.02499597365569583,-0.009441979744243685,0.9753138389697473,0.9906024557834128,0.0,-4.339538047231273,1.427825456086531e-05,16.095820845930568,survival,cox_regular,C_full_exploratory,own_complete_case
TissueDopplerEERatioSeptal,0.016962897901053164,1.0171075847989235,0.006346573084330933,0.004523843230513247,0.02940195257159308,1.0045340912569611,1.0298384575092243,0.0,2.672764919848303,0.007522894807051044,7.054496367420094,survival,cox_regular,C_full_exploratory,own_complete_case
EstimatedSysPAPressure,-0.003331150988991492,0.9966743911388681,0.004774027776272037,-0.012688073491678529,0.006025771513695544,0.9873920807536659,1.0060439629957458,0.0,-0.6977653137143528,0.48532397455625287,1.042979965221904,survival,cox_regular,C_full_exploratory,own_complete_case
m/f_m,-0.032241918883840766,0.9682723103863843,0.12567390141439913,-0.2785582394527004,0.2140744016850189,0.7568741865278988,1.2387148138344228,0.0,-0.2565522238187366,0.7975244605646807,0.3263993269889312,survival,cox_regular,C_full_exploratory,own_complete_case
LACavitySize_Moderately dilated,0.1490499036600466,1.160730912484644,0.1331928331022311,-0.11200325221918067,0.4101030595392739,0.8940413498772027,1.5069730850619902,0.0,1.1190534819966218,0.26311732346193806,1.926221857216447,survival,cox_regular,C_full_exploratory,own_complete_case
LACavitySize_Normal,0.32995961611298363,1.3909119568982578,0.2134410655270341,-0.08837718514185688,0.7482964173678242,0.9154155304609656,2.1133966023804924,0.0,1.5459050267493697,0.12212750638127641,3.033539924450235,survival,cox_regular,C_full_exploratory,own_complete_case
LACavitySize_Severely dilated,-0.006888396896226183,0.993135273727605,0.2273555278571362,-0.4524970431823061,0.43872024938985377,0.6360379528167325,1.550721411440996,0.0,-0.030297908131596683,0.9758294648775155,0.03529904922242311,survival,cox_regular,C_full_exploratory,own_complete_case
tricuspid_regurgitation_clin_grouped_Mild-to-mod,0.21042352627406805,1.2342006656896938,0.1756027226356491,-0.13375148567898074,0.5545985382271168,0.8748074397687111,1.7412418024149556,0.0,1.1982930737962827,0.23080294205199686,2.115266480709974,survival,cox_regular,C_full_exploratory,own_complete_case
tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.392628161791848,1.4808676437703192,0.15725065765943272,0.08442253623412227,0.7008337873495738,1.0880885535303435,2.015432449179516,0.0,2.4968300141687587,0.01253090090470681,6.318366049334435,survival,cox_regular,C_full_exploratory,own_complete_case
tricuspid_regurgitation_clin_grouped_Trivial,-0.2253355779000955,0.7982482993199292,0.16578164195172293,-0.550261625423387,0.09959046962319595,0.5767988853858416,1.104718409677427,0.0,-1.3592311865611466,0.17407334179561812,2.5222328143798776,survival,cox_regular,C_full_exploratory,own_complete_case
