outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value
hospitalization,zinb_intercept_inflation,C_lite_supportive,TissueDopplerEERatioSeptal,0.02781129320450678,,1.0282016374768832,,,
hospitalization,zinb_intercept_inflation,C_lite_supportive,EstimatedSysPAPressure,0.0045143413734966865,,1.004524546363005,,,
hospitalization,zinb_intercept_inflation,C_lite_supportive,m/f_m,0.1368457664444972,,1.146651282777168,,,
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Moderately dilated,-0.21727667217661814,,0.8047072983832134,,,
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Normal,0.3948380522197158,,1.4841438176605888,,,
hospitalization,zinb_intercept_inflation,C_lite_supportive,LACavitySize_Severely dilated,-0.6235318028760773,,0.5360478749968448,,,
hospitalization,negative_binomial,C_full_exploratory,const,-1.930120575815451,,0.14513069817630844,,,
hospitalization,negative_binomial,C_full_exploratory,AgeAtFirstHFDate,0.021197564287932683,,1.0214238285762838,,,
hospitalization,negative_binomial,C_full_exploratory,albumin-numeric result,-0.07637691955831244,,0.9264669372315245,,,
hospitalization,negative_binomial,C_full_exploratory,creatinine-numeric result,-0.05292122904466686,,0.9484547202242617,,,
hospitalization,negative_binomial,C_full_exploratory,AFIB_binary,0.09633547447802587,,1.1011284025147643,,,
hospitalization,negative_binomial,C_full_exploratory,LV_EF,-0.002060415556926697,,0.9979417056421063,,,
hospitalization,negative_binomial,C_full_exploratory,TissueDopplerEERatioSeptal,0.03541592101224382,,1.0360505343857032,,,
hospitalization,negative_binomial,C_full_exploratory,EstimatedSysPAPressure,-0.0019151206142150924,,0.9980867120591516,,,
hospitalization,negative_binomial,C_full_exploratory,m/f_m,0.24100291931097104,,1.2725247501982708,,,
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Moderately dilated,-0.16218327087972906,,0.8502853577140478,,,
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Normal,0.29474311084129884,,1.3427813683999938,,,
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Severely dilated,-0.44611407418144033,,0.6401107477870491,,,
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,0.04672226824237543,,1.0478309527315355,,,
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.2819504859022632,,1.3257130768748164,,,
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.16270583541179903,,0.8498411448190284,,,
hospitalization,poisson_robust,C_full_exploratory,const,-1.9301205758153448,0.9247297341430673,0.14513069817632385,0.023692639356950478,0.8890068867303373,0.036867648563903455
hospitalization,poisson_robust,C_full_exploratory,AgeAtFirstHFDate,0.021197564287932773,0.007379245927324237,1.021423828576284,1.0067569682653326,1.036304361896871,0.004071192635668908
hospitalization,poisson_robust,C_full_exploratory,albumin-numeric result,-0.0763769195583231,0.1488394432513148,0.9264669372315146,0.6920464313208667,1.2402939267310145,0.6078465897815897
hospitalization,poisson_robust,C_full_exploratory,creatinine-numeric result,-0.05292122904466746,0.04336869453256428,0.9484547202242611,0.8711650107274399,1.032601568289027,0.22236505357707959
hospitalization,poisson_robust,C_full_exploratory,AFIB_binary,0.09633547447801907,0.15018134834122954,1.101128402514757,0.8203534719340076,1.478001617968696,0.5212232264639032
hospitalization,poisson_robust,C_full_exploratory,LV_EF,-0.0020604155569273804,0.005465963270984733,0.9979417056421056,0.9873075339143027,1.0086904167656408,0.7062079481392292
hospitalization,poisson_robust,C_full_exploratory,TissueDopplerEERatioSeptal,0.03541592101224324,0.009118729246369297,1.0360505343857025,1.0176979976503633,1.0547340294263539,0.00010280865049727694
hospitalization,poisson_robust,C_full_exploratory,EstimatedSysPAPressure,-0.0019151206142153064,0.006197893341669859,0.9980867120591513,0.9860354303927479,1.0102852839600904,0.7573250159309677
hospitalization,poisson_robust,C_full_exploratory,m/f_m,0.2410029193109667,0.1716786894415067,1.2725247501982653,0.9089298940881079,1.7815667087193279,0.16037776323266062
hospitalization,poisson_robust,C_full_exploratory,LACavitySize_Moderately dilated,-0.16218327087972026,0.18923342345364508,0.8502853577140552,0.5867943971808051,1.232092864240744,0.3914150173205784
hospitalization,poisson_robust,C_full_exploratory,LACavitySize_Normal,0.294743110841294,0.24302140743477746,1.3427813683999874,0.8339524874497962,2.1620677801871615,0.2251956770379553
hospitalization,poisson_robust,C_full_exploratory,LACavitySize_Severely dilated,-0.4461140741814332,0.28619377033550114,0.6401107477870538,0.3652936004171874,1.121677929655902,0.11904767446549491
hospitalization,poisson_robust,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,0.04672226824237216,0.22257403781820156,1.047830952731532,0.6773800120615024,1.6208770349760218,0.8337317736446288
hospitalization,poisson_robust,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.28195048590225946,0.20693688932080456,1.3257130768748113,0.883692774272382,1.9888305227390688,0.1730417074857642
hospitalization,poisson_robust,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.16270583541180625,0.19636730487744802,0.8498411448190222,0.5783443925012313,1.2487887507714857,0.4073426453753317
hospitalization,zinb_intercept_inflation,C_full_exploratory,inflate_const,-131507.34467569253,,0.0,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,const,201.85619642141643,,4.624153517334019e+87,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,AgeAtFirstHFDate,6.031085968164122,,416.16672788995,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,albumin-numeric result,888.3214742234659,,inf,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,creatinine-numeric result,-391.9603304592245,,5.940067178113408e-171,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,AFIB_binary,-1332.9959923480214,,0.0,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,LV_EF,-9.958416659471931,,4.732761247821653e-05,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,TissueDopplerEERatioSeptal,-1.980965321192451,,0.13793602045896103,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,EstimatedSysPAPressure,4.412953558896619,,82.51281040285005,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,m/f_m,717.7002226551514,,inf,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,LACavitySize_Moderately dilated,-270.78019239467704,,2.521486424496646e-118,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,LACavitySize_Normal,1245.919623069742,,inf,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,LACavitySize_Severely dilated,-225.99097685546354,,7.134536953655723e-99,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,1389.1575697111593,,inf,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,-806.1676968808774,,0.0,,,
hospitalization,zinb_intercept_inflation,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-410.53502934677726,,5.092161003752578e-179,,,
hospitalization,negative_binomial,Model_B,const,-0.11878580323519906,0.6194549802443298,0.8879979866885163,0.2637067563729459,2.99021699409047,0.8479313223968665
hospitalization,negative_binomial,Model_B,AgeAtFirstHFDate,0.022219920691010912,0.006675668575489921,1.0224686217521797,1.0091774673368192,1.035934824453308,0.0008731698480057837
hospitalization,negative_binomial,Model_B,albumin-numeric result,-0.10623550033860894,0.1447117512637524,0.8992128582060208,0.6771445368199838,1.194108082390097,0.4628768285410816
hospitalization,negative_binomial,Model_B,creatinine-numeric result,-0.059781751756789056,0.03354891352689197,0.941970094470057,0.8820225801115905,1.005991999392656,0.07476095738899291
hospitalization,negative_binomial,Model_B,AFIB_binary,-0.1844495521442561,0.14580062274852068,0.8315618893555015,0.6248655497850494,1.1066303400249256,0.20584240491482997
hospitalization,negative_binomial,Model_B,LV_EF,-0.011825961644948587,0.0050037776967337775,0.9882436902024025,0.9785989570053164,0.9979834785574541,0.018107786388070535
hospitalization,negative_binomial,Model_B,m/f_m,-0.017966793965311322,0.16206576411336843,0.9821936465731025,0.7148977942379442,1.3494297606511843,0.9117264682280033
hospitalization,poisson_robust,Model_B,const,-1.4673926393370462,0.5929862716673613,0.23052576608653713,0.0721040018691487,0.7370205183094404,0.013339251937027452
hospitalization,poisson_robust,Model_B,AgeAtFirstHFDate,0.024640501994581347,0.005956445660079596,1.024946588030992,1.0130502898445897,1.036982585018094,3.522143477718842e-05
hospitalization,poisson_robust,Model_B,albumin-numeric result,-0.002776230428534296,0.10705365123441267,0.997227619735357,0.8084783430951501,1.2300427513690457,0.9793107184147027
hospitalization,poisson_robust,Model_B,creatinine-numeric result,-0.0583803194573919,0.03641273360825363,0.9432911272382981,0.8783156169535566,1.013073357175146,0.10886974757379742
hospitalization,poisson_robust,Model_B,AFIB_binary,-0.07452552811566303,0.13163333867283974,0.928183778973673,0.7171093985026783,1.2013859103627835,0.5712850338376991
hospitalization,poisson_robust,Model_B,LV_EF,-0.005562148636216486,0.004286417637156305,0.9944532914725187,0.9861335106522949,1.0028432643632368,0.1944173540358738
hospitalization,poisson_robust,Model_B,m/f_m,0.01869290983387145,0.14423711782566387,1.0188687160073417,0.767964446055663,1.351746771338431,0.8968841135469534
hospitalization,zinb_intercept_inflation,Model_B,inflate_const,-22.382753652241888,11460.06656299953,1.9023639132300146e-10,0.0,inf,0.9984416458565011
hospitalization,zinb_intercept_inflation,Model_B,const,-0.1187870210910748,0.619464227301617,0.887996905235609,0.26370165578294424,2.9902675482518544,0.8479320246654103
hospitalization,zinb_intercept_inflation,Model_B,AgeAtFirstHFDate,0.022219918379803902,0.006675719647249339,1.0224686193890429,1.0091773639850876,1.0359349257568007,0.0008732507590789584
hospitalization,zinb_intercept_inflation,Model_B,albumin-numeric result,-0.10623562118180147,0.14471111503171982,0.8992127495422748,0.6771452994013538,1.194106449020949,0.46287435269707
hospitalization,zinb_intercept_inflation,Model_B,creatinine-numeric result,-0.05978182268859026,0.033548907287691915,0.9419700276544238,0.8820225283342478,1.0059919157337278,0.07476055851418417
hospitalization,zinb_intercept_inflation,Model_B,AFIB_binary,-0.1844490235720369,0.1458013376777013,0.8315623288961308,0.6248650044720113,1.1066324756391923,0.20584592783913847
hospitalization,zinb_intercept_inflation,Model_B,LV_EF,-0.011825949977862495,0.005003791576699345,0.9882437017323268,0.9785989418001919,0.9979835173508876,0.01810822070400042
hospitalization,zinb_intercept_inflation,Model_B,m/f_m,-0.017965064212376005,0.16206782417092577,0.982195345526915,0.7148961442844229,1.3494375434635513,0.9117360493641415
hospitalization,negative_binomial,C_minimal,const,-1.041738281966158,0.7147200596936668,0.35284081175360443,0.08693543181040263,1.4320586652224503,0.14496536907339652
hospitalization,negative_binomial,C_minimal,AgeAtFirstHFDate,0.020155502699005474,0.006971871331410809,1.0203599964240884,1.0065117447074006,1.0343987815117148,0.003840491998563955
hospitalization,negative_binomial,C_minimal,albumin-numeric result,-0.1552886587438475,0.15012741949140312,0.8561680014307499,0.6379225481140732,1.1490793809389623,0.30095899075451604
hospitalization,negative_binomial,C_minimal,creatinine-numeric result,-0.03943080069666398,0.03743584297511375,0.9613364755033268,0.8933247941950739,1.034526104210368,0.2922080804755216
hospitalization,negative_binomial,C_minimal,AFIB_binary,-0.08211023969254491,0.1538592814207329,0.9211704035566782,0.681353218370544,1.2453964984829635,0.593569162504429
hospitalization,negative_binomial,C_minimal,LV_EF,-0.005778382629000756,0.005796761421640393,0.9942382801138862,0.983006019733054,1.0055988852563273,0.3188472899759085
hospitalization,negative_binomial,C_minimal,TissueDopplerEERatioSeptal,0.030707473418747546,0.008293981066441847,1.0311838110871923,1.0145561949596504,1.0480839381110831,0.00021358600573417874
hospitalization,negative_binomial,C_minimal,m/f_m,0.11788046507258218,0.17327683337706032,1.1251096134329233,0.8011219243358488,1.5801235789279178,0.49631366478973593
hospitalization,poisson_robust,C_minimal,const,-2.1333422545806497,0.6567085962951047,0.11844077236966775,0.03269637369783413,0.42904502771977765,0.0011600007093610643
hospitalization,poisson_robust,C_minimal,AgeAtFirstHFDate,0.020255862943423898,0.0066891922281985304,1.02046240514152,1.0071706329217756,1.0339295907450219,0.00246057684944323
hospitalization,poisson_robust,C_minimal,albumin-numeric result,-0.06765944705081928,0.12049396433771217,0.9345786929189854,0.7379880719713452,1.1835385508670841,0.5744449314557829
hospitalization,poisson_robust,C_minimal,creatinine-numeric result,-0.026649495604296258,0.03653828927315422,0.9737024687154205,0.9064090882361656,1.045991826303795,0.46578266838881865
hospitalization,poisson_robust,C_minimal,AFIB_binary,0.06805222198943303,0.14358724800875303,1.0704212065441445,0.8078500784839033,1.418334403791548,0.6355403018221448
hospitalization,poisson_robust,C_minimal,LV_EF,-0.0016381159343007029,0.0047578672504441895,0.9983632250452797,0.9890963447789709,1.0077169270558237,0.7306234912125145
hospitalization,poisson_robust,C_minimal,TissueDopplerEERatioSeptal,0.032034122791946916,0.008200500581458067,1.0325527382862538,1.0160892010914708,1.0492830316444455,9.369616321786012e-05
hospitalization,poisson_robust,C_minimal,m/f_m,0.1676923127463101,0.14757402423118166,1.1825726921202087,0.8855443177384941,1.5792300217338369,0.25581983547950715
hospitalization,zinb_intercept_inflation,C_minimal,inflate_const,-20.062450520629646,3248.2853395103084,1.9363704454042264e-09,0.0,inf,0.9950720407609517
hospitalization,zinb_intercept_inflation,C_minimal,const,-1.0417317675469648,0.7147193945841684,0.3528431103140475,0.08693611147720465,1.4320661274197388,0.1449675089591933
hospitalization,zinb_intercept_inflation,C_minimal,AgeAtFirstHFDate,0.020155434471342056,0.006971876233937028,1.0203599268073122,1.0065116663639366,1.0343987208765923,0.0038406364327734366
hospitalization,zinb_intercept_inflation,C_minimal,albumin-numeric result,-0.15528924565881555,0.15012735924550347,0.8561674989330822,0.6379222490349984,1.1490785708418103,0.3009569698551897
hospitalization,zinb_intercept_inflation,C_minimal,creatinine-numeric result,-0.03943042233574077,0.03743586900730307,0.961336839235552,0.8933250866141234,1.0345265484194348,0.29221304683532834
hospitalization,zinb_intercept_inflation,C_minimal,AFIB_binary,-0.08210997867563768,0.15385910476113882,0.9211706439977594,0.681353632135842,1.2453963923304803,0.5935699124143408
hospitalization,zinb_intercept_inflation,C_minimal,LV_EF,-0.005778419374718213,0.005796762744618532,0.994238243579888,0.9830059810628222,1.0055988509124307,0.31884432299809706
hospitalization,zinb_intercept_inflation,C_minimal,TissueDopplerEERatioSeptal,0.03070746856523444,0.00829398471331459,1.0311838060823282,1.0145561827835725,1.0480839405157623,0.00021358786943270758
hospitalization,zinb_intercept_inflation,C_minimal,m/f_m,0.11788074759446568,0.17327649927621552,1.1251099313010553,0.8011226752754786,1.5801229906230967,0.49631180222496973
hospitalization,negative_binomial,C_lite_supportive,const,-0.6491824017443198,0.8906800439708741,0.5224727750102067,0.09118040267635209,2.9938209594863276,0.4660863812365492
hospitalization,negative_binomial,C_lite_supportive,AgeAtFirstHFDate,0.016805749059975356,0.007908608150556422,1.0169477600791845,1.0013057288074123,1.0328341454330998,0.033587069325762275
hospitalization,negative_binomial,C_lite_supportive,albumin-numeric result,-0.14569137742128044,0.17751207526615032,0.8644244429222556,0.6104157204861224,1.22413232890918,0.4117940065982859
hospitalization,negative_binomial,C_lite_supportive,creatinine-numeric result,-0.07769436850208591,0.04813552675541798,0.9252471680118893,0.8419454938814411,1.0167906689154047,0.10651107749504085
