column,dtype,vtype,n_available,pct_available,n_missing,pct_missing,n_unique_nonmissing,clinical_axis,proposed_status,sample_or_distribution,requires_review
COPD,datetime64[ns],date,105,16.3,540,83.7,105,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2008-12-25, max=2024-02-18",False
DYSLIPIDEMIA,datetime64[ns],date,311,48.2,334,51.8,308,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2007-08-20, max=2025-05-30",False
DeathDate,datetime64[ns],date,506,78.4,139,21.6,479,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2012-02-17, max=2025-08-16",False
Diabetes mellitus,datetime64[ns],date,410,63.6,235,36.4,409,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2007-03-05, max=2025-05-30",False
Dialysis_Start_Date,datetime64[ns],date,645,100.0,0,0.0,609,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2009-04-13, max=2025-06-12",False
Echo_Date,datetime64[ns],date,645,100.0,0,0.0,600,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2009-02-12, max=2025-06-03",False
HTN,datetime64[ns],date,533,82.6,112,17.4,529,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2003-05-09, max=2025-04-15",False
IHD,datetime64[ns],date,396,61.4,249,38.6,394,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=2004-01-01, max=2025-03-28",False
MI,datetime64[ns],date,193,29.9,452,70.1,175,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=1981-01-01, max=2024-12-01",False
data_cutoff_date,object,categorical/text,645,100.0,0,0.0,1,Other/unmapped,Administrative/support only — not a predictor,2025-08-16: 645 (100.0%),False
event,int64,binary,645,100.0,0,0.0,2,Other/unmapped,Outcome/support variable for survival analysis — not a predictor,1: 506 (78.4%); 0: 139 (21.6%),False
event_1y,int64,binary,645,100.0,0,0.0,2,Other/unmapped,Outcome/duplicate support — use died_1year as primary 1-year mortality variable,0: 405 (62.8%); 1: 240 (37.2%),False
time_to_event_years,float64,continuous,645,100.0,0,0.0,511,Other/unmapped,Survival outcome time/support variable — not a predictor,"min=0.002738, median=1.514, max=16.18",False
months_echo_to_dialysis,float64,continuous,645,100.0,0,0.0,296,Other/unmapped,Excluded duplicate timing variable — use days_echo_to_dialysis only,"min=-12.2, median=-2.333, max=2.233",False
months_dialysis_to_echo,float64,continuous,645,100.0,0,0.0,297,Other/unmapped,Excluded duplicate/inverse timing variable — use days_echo_to_dialysis only,"min=-12.2, median=-2.333, max=2.233",False
gap_echo_to_dial_days,int64,continuous,645,100.0,0,0.0,296,Timing,Excluded duplicate/inverse timing variable — use days_echo_to_dialysis only,"min=-67, median=70, max=366",False
OncologicalDiagnosis,object,categorical/text,143,22.2,502,77.8,1,Other/unmapped,Excluded — raw diagnosis/date field; use binary/descriptive version only if needed,NaN: 502 (77.8%); Oncological diagnosis: 143 (22.2%),False
