outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,missing_handling,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,COPD_binary,main_candidate,COPD_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference_complete_case,0,644,1177,IRR,1.2140253140013906,0.9285383773261884,1.5872876113966154,0.15621934882007737,0.19394154415087642,-0.074143566435911,0.4620266547376638,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.25619973206492686,0.19394154415087642
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Mild-to-mod,Mild-to-mod vs Mild (I),categorical,categorical_dummy_vs_reference_complete_case,Mild (I),599,1079,IRR,0.8032167562179258,0.5783856752294884,1.115444564240401,0.1909122203864616,-0.21913066843717038,-0.5475143746450157,0.10925303777067491,644,599,45,0.06987577639751552,variable_level_complete_case_for_predictor,1.0,0.3010538859940356,0.21913066843717038
hospitalization_negative_binomial,days_echo_to_dialysis,main_candidate,days_echo_to_dialysis__z,per 1 SD increase,continuous,continuous_per_1SD,,644,1177,IRR,0.9392775108428237,0.8494404531770726,1.0386157606166897,0.22197445964426654,-0.06264430473308166,-0.1631774366459378,0.03788882717977449,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.3370723276079603,0.06264430473308166
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference_complete_case,Mild (I),596,1100,IRR,0.8526323780099032,0.6490074822166855,1.1201442078106945,0.25218132100476487,-0.15942679975643248,-0.43231103350523487,0.1134574339923699,644,596,48,0.07453416149068323,variable_level_complete_case_for_predictor,1.0,0.36926550575697714,0.15942679975643248
hospitalization_negative_binomial,LeftVentricleEstimatedMassIndex,main_candidate,LeftVentricleEstimatedMassIndex__z,per 1 SD increase,continuous,continuous_per_1SD,,578,1078,IRR,1.0556413284934214,0.9511393134886171,1.1716250170924012,0.3086347678266381,0.05414847654169185,-0.05009473558975686,0.15839168867314057,644,578,66,0.10248447204968944,variable_level_complete_case_for_predictor,1.0,0.4363457062376608,0.05414847654169185
hospitalization_negative_binomial,m/f,main_candidate,m/f__level__f,f vs m,categorical,categorical_dummy_vs_reference_complete_case,m,643,1177,IRR,1.0957637633800346,0.8797593143416035,1.3648030837108647,0.4142862549657167,0.09145162093151706,-0.12810691534958596,0.31101015721262004,644,643,1,0.0015527950310559005,variable_level_complete_case_for_predictor,1.0,0.5661912151198129,0.09145162093151706
hospitalization_negative_binomial,hb-numeric result,main_candidate,hb-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,578,1095,IRR,0.9588853494231295,0.8625431260028033,1.0659885698692926,0.43708657667026396,-0.04198376346343515,-0.1478701301639683,0.06390260323709801,644,578,66,0.10248447204968944,variable_level_complete_case_for_predictor,1.0,0.5780822465638975,0.04198376346343515
hospitalization_negative_binomial,LACavitySize,main_candidate,LACavitySize__level__Moderately_dilated,Moderately dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference_complete_case,Mildly dilated,601,1127,IRR,1.0880595567081957,0.85053412135865,1.3919178187147931,0.5018208126115168,0.08439588655709587,-0.16189074877560566,0.3306825218897974,644,601,43,0.06677018633540373,variable_level_complete_case_for_predictor,1.0,0.6429579161585058,0.08439588655709587
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Moderately_increased,Moderately increased vs Severely increased,categorical,categorical_dummy_vs_reference_complete_case,Severely increased,525,962,IRR,0.9146336540489506,0.6764099468877858,1.2367569769900457,0.5621587560297849,-0.0892316719679016,-0.39095595643635045,0.21249261250054724,644,525,119,0.18478260869565216,variable_level_complete_case_for_predictor,1.0,0.693071774451341,0.0892316719679016
hospitalization_negative_binomial,LACavitySize,main_candidate,LACavitySize__level__Normal,Normal vs Mildly dilated,categorical,categorical_dummy_vs_reference_complete_case,Mildly dilated,601,1127,IRR,0.9085807549484587,0.6495761817634962,1.2708578476839438,0.5755016821548962,-0.09587150687558703,-0.4314351568113533,0.23969214306017922,644,601,43,0.06677018633540373,variable_level_complete_case_for_predictor,1.0,0.693071774451341,0.09587150687558703
