time_days,survival_prob
535,0.5598770632194308
538,0.5581649009465884
543,0.5564527386737461
545,0.5564527386737461
553,0.5530178452251427
559,0.5513003985008411
563,0.549577584755526
564,0.549577584755526
565,0.5478439015228587
570,0.5461102182901914
577,0.544376535057524
585,0.5426428518248567
587,0.5409091685921894
589,0.5391754853595221
592,0.5374418021268549
608,0.5357081188941877
612,0.5339744356615205
614,0.5322407524288532
618,0.5322407524288532
621,0.5305014035647065
624,0.52876205470056
626,0.5270227058364134
628,0.5235440081081203
630,0.5218046592439737
633,0.5200653103798272
641,0.5183259615156806
649,0.5165866126515339
658,0.5148472637873873
660,0.5096292171949476
666,0.507889868330801
667,0.507889868330801
671,0.507889868330801
674,0.5061324639421131
675,0.5061324639421131
680,0.5043689361931859
681,0.5026054084442586
684,0.5008356710905817
687,0.4990659337369047
689,0.4955264590295508
693,0.4937567216758738
703,0.49198698432219684
711,0.49021724696851987
721,0.48667777226116593
725,0.483138297553812
732,0.481368560200135
744,0.481368560200135
746,0.47959229245031904
753,0.47959229245031904
754,0.47780942147466726
758,0.47602655049901554
759,0.47602655049901554
761,0.4724474035027823
771,0.4706578300046657
774,0.4688682565065491
777,0.4670786830084325
786,0.46528910951031593
792,0.46349953601219934
797,0.46170996251408275
801,0.45992038901596616
811,0.45992038901596616
819,0.45812382499637255
821,0.45812382499637255
826,0.4563201878900876
828,0.4545165507838027
831,0.45271291367751776
843,0.4509092765712328
844,0.44910563946494786
848,0.4473020023586629
850,0.4473020023586629
853,0.4454910630778586
859,0.4454910630778586
863,0.443672732208153
872,0.4418544013384475
880,0.44003607046874194
883,0.44003607046874194
887,0.44003607046874194
893,0.43636910321483574
902,0.43453561958788267
904,0.4327021359609296
905,0.4327021359609296
906,0.43086085027598947
907,0.42901956459104934
911,0.4271782789061092
912,0.4253369932211691
913,0.4253369932211691
919,0.4234877019462944
924,0.42163841067141977
925,0.4197891193965451
929,0.41793982812167046
930,0.4160905368467958
941,0.41424124557192116
944,0.4123919542970465
948,0.4123919542970465
951,0.4086599004120054
956,0.4086599004120054
961,0.40678531371286775
969,0.40678531371286775
970,0.4048932889979242
975,0.40300126428298066
985,0.4011092395680371
987,0.3992172148530935
990,0.39731618049665024
992,0.39541514614020695
1000,0.39351411178376366
1003,0.39351411178376366
1004,0.3916038491052017
1005,0.3896935864266397
1012,0.3877833237480777
1017,0.38587306106951574
1019,0.38396279839095376
1020,0.38205253571239184
1035,0.38014227303382986
1039,0.38014227303382986
1043,0.378222362563962
1049,0.3763024520940942
1062,0.37438254162422635
1070,0.37438254162422635
1084,0.37245273470863755
1085,0.37052292779304874
1093,0.36859312087745993
1099,0.3666633139618712
1106,0.3647335070462824
1110,0.3628037001306936
1117,0.36087389321510477
1121,0.35894408629951596
1124,0.35701427938392716
1125,0.3550844724683384
1132,0.3550844724683384
1134,0.35314412015976826
1138,0.3512037678511981
1140,0.34926341554262796
1155,0.3473230632340578
1165,0.34538271092548767
1183,0.3434423586169175
1185,0.3415020063083474
1202,0.3395616539997772
1211,0.3376213016912071
1213,0.3376213016912071
1218,0.3356697334733388
1219,0.3356697334733388
1220,0.3337067525758339
1221,0.33174377167832897
1244,0.33174377167832897
1245,0.3297691063707199
1250,0.3277944410631108
1257,0.3277944410631108
1293,0.3258078080869707
1295,0.32382117511083064
1300,0.3218345421346906
1307,0.3198479091585505
1309,0.31786127618241045
1316,0.3158746432062704
1327,0.3158746432062704
1330,0.31387543660369904
1335,0.307877816795985
1341,0.3058786101934137
1353,0.3038794035908424
1354,0.3018801969882711
1363,0.29988099038569976
1364,0.29988099038569976
1365,0.2978683662891514
1372,0.2958557421926031
1375,0.2958557421926031
1406,0.29382933299950303
1420,0.29382933299950303
1425,0.29178885152033984
1427,0.29178885152033984
1444,0.2897340004532952
1453,0.28767914938625055
1454,0.28562429831920594
1481,0.2835694472521613
1482,0.28151459618511665
1483,0.279459745118072
1485,0.27740489405102736
1487,0.2753500429839827
1536,0.27327974190891513
1544,0.27120944083384757
1557,0.26913913975878
1571,0.26913913975878
1578,0.2670527898381693
1586,0.2670527898381693
1599,0.26495001196542783
1604,0.26284723409268634
1632,0.26074445621994485
1636,0.25864167834720336
1641,0.25864167834720336
1647,0.25864167834720336
1648,0.2565041438154083
1669,0.25436660928361327
1670,0.2522290747518182
1680,0.25009154022002317
1681,0.24795400568822812
1689,0.24581647115643307
1695,0.24367893662463802
1698,0.24154140209284294
1704,0.23940386756104787
1711,0.23726633302925282
1747,0.23512879849745774
1752,0.2329912639656627
1779,0.2308339374474621
1788,0.22867661092926153
1826,0.22651928441106095
1838,0.22436195789286037
1842,0.22436195789286037
1843,0.22218368645700737
1852,0.22218368645700737
1865,0.21998384797723503
1866,0.21778400949746268
1877,0.21778400949746268
1888,0.21556172368626408
1889,0.21333943787506549
1894,0.2111171520638669
1954,0.2111171520638669
1971,0.20887122491425128
1973,0.20887122491425128
1977,0.20887122491425128
1983,0.2065759367283804
2012,0.20428064854250952
2027,0.2019853603566386
2029,0.2019853603566386
2034,0.2019853603566386
2046,0.2019853603566386
2055,0.19960906199950168
2147,0.19723276364236475
2189,0.19485646528522782
2199,0.1924801669280909
2203,0.1924801669280909
2228,0.1924801669280909
2254,0.18760725130965822
2255,0.18517079350044188
2269,0.18273433569122555
2288,0.1802978778820092
2336,0.17786142007279288
2378,0.1754249622635765
2379,0.17298850445436018
2382,0.17298850445436018
2405,0.17051724010501218
2442,0.16804597575566418
2443,0.1655747114063162
2499,0.16310344705696816
2531,0.16063218270762017
2556,0.15816091835827217
2609,0.15568965400892418
2616,0.15568965400892418
2626,0.15568965400892418
2660,0.1531373645989418
2670,0.15058507518895944
2679,0.15058507518895944
2684,0.15058507518895944
2693,0.15058507518895944
2700,0.15058507518895944
2701,0.14784716473097836
2707,0.14784716473097836
2729,0.14505759558511086
2748,0.14505759558511086
2776,0.14505759558511086
2779,0.14215644367340863
2808,0.1392552917617064
2817,0.1392552917617064
2839,0.13629241321358498
2882,0.13332953466546357
2900,0.13332953466546357
2901,0.13029931796852123
2914,0.13029931796852123
2937,0.127196953254985
2950,0.127196953254985
2957,0.127196953254985
3035,0.12393549291511359
3098,0.12393549291511359
3110,0.12393549291511359
3114,0.12393549291511359
3121,0.12393549291511359
3123,0.12029033135878672
3141,0.11664516980245986
3150,0.11300000824613299
3216,0.11300000824613299
3315,0.11300000824613299
3414,0.11300000824613299
3417,0.11300000824613299
3440,0.11300000824613299
3456,0.11300000824613299
3458,0.10848000791628766
3476,0.10848000791628766
3513,0.1037634858329708
3696,0.09904696374965395
3726,0.09904696374965395
3728,0.09904696374965395
3743,0.09904696374965395
3791,0.09904696374965395
3872,0.09322067176438019
3893,0.09322067176438019
3958,0.0870059603134215
3985,0.0870059603134215
4000,0.0870059603134215
4075,0.0870059603134215
4167,0.0870059603134215
4189,0.0870059603134215
4483,0.0870059603134215
4490,0.07613021527424382
4556,0.06525447023506614
4577,0.06525447023506614
4646,0.052203576188052915
5150,0.052203576188052915
5252,0.052203576188052915
5518,0.052203576188052915
5911,0.052203576188052915
