outcome,model_tier,model_type,variable_or_term,effect_measure,log_estimate,se_log_effect,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,source_variable
hospitalization,C_full,ZINB_count_part,C(Q('AFIB_binary'))[T.1],IRR,0.06863567511567462,,1.07104592937402,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],IRR,0.06148905781343433,,1.0634188603375698,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,-0.29577952668039387,,0.743951431382035,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,C(Q('LACavitySize'))[T.Normal],IRR,0.4096022165062371,,1.5062185170671978,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,Q('AgeAtFirstHFDate'),IRR,0.02547099182261444,,1.0257981493041721,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,Q('albumin-numeric result'),IRR,-0.17767652531375633,,0.8372131969684322,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,Q('creatinine-numeric result'),IRR,-0.0559551297613529,,0.9455815634089332,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,Q('LV_EF'),IRR,-0.009560082503512915,,0.990485469808365,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,Q('TissueDopplerEERatioSeptal'),IRR,0.02829455473535151,,1.0286986478575533,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_full,ZINB_count_part,Q('EstimatedSysPAPressure'),IRR,0.004125834254748476,,1.0041343572263222,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
